name,ra,dec,usrid,separation,probability,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,likelihood_class,conf_flag,sat_src_flag,streak_src_flag,flux_aper_b,flux_aper_lolim_b,flux_aper_hilim_b,flux_aper_w,flux_aper_lolim_w,flux_aper_hilim_w
2CXO J174804.8-244645, 17 48 04.81,-24 46 45.05,   1580,     0.18,     0.06,     0.71,     0.71,     11.4,    29.08,                TRUE, TRUE,FALSE,FALSE,1.692e-14,1.615e-14,1.770e-14,         ,         ,         
2CXO J174804.8-244645, 17 48 04.81,-24 46 45.05,   1581,     0.18,     0.06,     0.71,     0.71,     11.4,    29.08,                TRUE, TRUE,FALSE,FALSE,1.692e-14,1.615e-14,1.770e-14,         ,         ,         
2CXO J174804.8-244645, 17 48 04.81,-24 46 45.05,   1582,     0.18,     0.06,     0.71,     0.71,     11.4,    29.08,                TRUE, TRUE,FALSE,FALSE,1.692e-14,1.615e-14,1.770e-14,         ,         ,         
2CXO J174804.8-244645, 17 48 04.81,-24 46 45.05,   1587,     0.18,     0.06,     0.71,     0.71,     11.4,    29.08,                TRUE, TRUE,FALSE,FALSE,1.692e-14,1.615e-14,1.770e-14,         ,         ,         
2CXO J174804.8-244645, 17 48 04.81,-24 46 45.05,   1588,     0.18,     0.06,     0.71,     0.71,     11.4,    29.08,                TRUE, TRUE,FALSE,FALSE,1.692e-14,1.615e-14,1.770e-14,         ,         ,         
2CXO J174804.8-244645, 17 48 04.81,-24 46 45.05,   1589,     0.18,     0.06,     0.71,     0.71,     11.4,    29.08,                TRUE, TRUE,FALSE,FALSE,1.692e-14,1.615e-14,1.770e-14,         ,         ,         
2CXO J174804.8-244645, 17 48 04.81,-24 46 45.05,   1590,     0.18,     0.06,     0.71,     0.71,     11.4,    29.08,                TRUE, TRUE,FALSE,FALSE,1.692e-14,1.615e-14,1.770e-14,         ,         ,         
2CXO J174804.8-244645, 17 48 04.81,-24 46 45.05,   1591,     0.18,     0.06,     0.71,     0.71,     11.4,    29.08,                TRUE, TRUE,FALSE,FALSE,1.692e-14,1.615e-14,1.770e-14,         ,         ,         
2CXO J174804.8-244645, 17 48 04.81,-24 46 45.05,   1592,     0.18,     0.06,     0.71,     0.71,     11.4,    29.08,                TRUE, TRUE,FALSE,FALSE,1.692e-14,1.615e-14,1.770e-14,         ,         ,         
2CXO J174804.8-244645, 17 48 04.81,-24 46 45.05,   1593,     0.18,     0.06,     0.71,     0.71,     11.4,    29.08,                TRUE, TRUE,FALSE,FALSE,1.692e-14,1.615e-14,1.770e-14,         ,         ,         
2CXO J174804.8-244645, 17 48 04.81,-24 46 45.05,   1594,     0.18,     0.06,     0.71,     0.71,     11.4,    29.08,                TRUE, TRUE,FALSE,FALSE,1.692e-14,1.615e-14,1.770e-14,         ,         ,         
2CXO J174804.8-244645, 17 48 04.81,-24 46 45.05,   1595,     0.18,     0.06,     0.71,     0.71,     11.4,    29.08,                TRUE, TRUE,FALSE,FALSE,1.692e-14,1.615e-14,1.770e-14,         ,         ,         
2CXO J174804.8-244645, 17 48 04.81,-24 46 45.05,   1596,     0.18,     0.06,     0.71,     0.71,     11.4,    29.08,                TRUE, TRUE,FALSE,FALSE,1.692e-14,1.615e-14,1.770e-14,         ,         ,         
2CXO J174804.8-244645, 17 48 04.81,-24 46 45.05,   1597,     0.18,     0.06,     0.71,     0.71,     11.4,    29.08,                TRUE, TRUE,FALSE,FALSE,1.692e-14,1.615e-14,1.770e-14,         ,         ,         
2CXO J174804.8-244645, 17 48 04.81,-24 46 45.05,   1598,     0.18,     0.06,     0.71,     0.71,     11.4,    29.08,                TRUE, TRUE,FALSE,FALSE,1.692e-14,1.615e-14,1.770e-14,         ,         ,         
