,NAME,PSRJ,RAJ,DECJ,RAJD,num_obs,DECJD,BINCOMP,ASSOC_MOD,ASSOC,SURVEY,PSR,Unnamed: 11
426,J1822-0907,J1822-0907,18:22:39.8,-09:07:36,275.66583333,0,-9.12666667,,NA,,"pksmb,htru_pks",,
427,J1822+1120,J1822+1120,18:22:14.6,+11:20:56.2,275.56083333,0,11.34894444,,NA,,ar4,,
428,J1822-1252,J1822-1252,18:22:41.7,-12:52:49,275.67375,0,-12.88027778,,NA,,"pksmb,htru_pks",,
429,B1820-14,J1822-1400,18:22:54.0,-14:00:02.4,275.72517768,0,-14.00066746,,NA,,"jb2,pksmb,htru_pks",,
430,J1822-1604,J1822-1604,18:22:18.0,-16:04:26.8,275.575,0,-16.07411111,,XRS,XRS:SGR_J1822-1606,misc,"AXP,NRAD",
431,J1822-1617,J1822-1617,18:22:36.6,-16:17:35,275.6525,0,-16.29305556,,NA,,pksmb,,
432,B1819-22,J1822-2256,18:22:58.9,-22:56:31,275.74564215,0,-22.94183603,,NA,,"jb1,mol2,pks70,pksmb,htru_pks",,
433,J1822-4209,J1822-4209,18:22:11.3,-42:09:10.9,275.54731667,0,-42.15305,,NA,,"pks70,pkssw,htru_pks",,
434,J1823-0154,J1823-0154,18:23:52.1,-01:54:04.6,275.9672752,0,-1.90127008,,NA,,"pks70,pksmb,htru_pks",,
435,B1821+05,J1823+0550,18:23:30.9,+05:50:24.3,275.87905458,0,5.84008611,,NA,,"mol2,gb3,ar4,pkssw,gb4,lotaas",,
436,B1820-11,J1823-1115,18:23:40.3,-11:15:11,275.91794458,0,-11.25313535,MS(?)[pv91],NA,,"jb2,pksmb,htru_pks",,
437,J1823-1126,J1823-1126,18:23:19.8,-11:26:04,275.83275,0,-11.43444444,,NA,,"pksmb,htru_pks",,
438,J1823-1347,J1823-1347,18:23:24.2,-13:47:54,275.85104167,0,-13.79833333,,NA,,"pksmb,htru_pks",,
439,J1823-1526,J1823-1526,18:23:21.4,-15:26:22,275.83925,0,-15.43944444,,NA,,"pksmb,htru_pks",,
440,J1823-1807,J1823-1807,18:23:09.6,-18:07:33,275.79033333,0,-18.12583333,,NA,,"pksmb,htru_pks",,
441,B1820-30A,J1823-3021A,18:23:40.4,-30:21:40.1,275.91869588,0,-30.36114639,,GRS,"GRS:4FGL_J1823.5-3020[fermi21],GC:NGC662","misc,pks70,htru_pks",HE[faa+11],
442,B1820-30B,J1823-3021B,18:23:41.5,-30:21:40.9,275.92310625,0,-30.36137222,,GC,GC:NGC6624,"misc,htru_pks",,
443,J1823-3021C,J1823-3021C,18:23:41.1,-30:21:38.4,275.921465,0,-30.36068056,,GC,GC:NGC6624,misc,,
444,J1823-3021D,J1823-3021D,18:23:40.5,-30:21:43.6,275.91888,0,-30.36212778,,GC,GC:NGC6624,misc,,
445,J1823-3021E,J1823-3021E,18:23:40.5,-30:21:40.2,275.91875,0,-30.36116667,,GC,GC:NGC6624,misc,,
446,J1823-3021F,J1823-3021F,18:23:40.5,-30:21:40.2,275.91875,0,-30.36116667,,GC,GC:NGC6624,misc,,
447,B1820-31,J1823-3106,18:23:46.7,-31:06:49.7,275.94495157,0,-31.11381963,,NA,,"mol2,pks70,pkssw,htru_pks",,
