,A_NAME,A_RA,A_DEC,A_COUNT_RATE,A_COUNT_RATE_ERROR,A_FLUX,A_DATABASE_TABLE,A_OBSERVATORY,B_NAME,B_RA,B_DEC,B_SIGNIFICANCE,B_B_FLUX_AP,B_B_FLUX_AP_HI,B_B_FLUX_AP_LO,B_M_FLUX_AP,B_M_FLUX_AP_HI,B_M_FLUX_AP_LO,XOFFSET_
45,CXOGLB J002402.1-720450,6.009004,-72.080725,0.000145,2.744e-05,8.502e-16,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.3-720448 ,6.00559,-72.080101,5.636,7.67e-16,9.21E-16      ,6.05E-16      ,0.0,              ,              ,0.073
46,CXOGLB J002402.1-720450,6.00925,-72.080678,0.0001078,5.46e-05,7.794e-16,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.3-720448 ,6.00559,-72.080101,5.636,7.67e-16,9.21E-16      ,6.05E-16      ,0.0,              ,              ,0.076
47,CXOGLB J002402.8-720449,6.011667,-72.080289,0.0006482,0.0001099,5.137e-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.3-720448 ,6.00559,-72.080101,5.636,7.67e-16,9.21E-16      ,6.05E-16      ,0.0,              ,              ,0.113
48,CXOGLB J002402.8-720449,6.011767,-72.080281,0.005065,0.000139,2.937e-14,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.3-720448 ,6.00559,-72.080101,5.636,7.67e-16,9.21E-16      ,6.05E-16      ,0.0,              ,              ,0.115
49,CXOGLB J002401.4-720441,6.006012,-72.078264,0.0002029,3.068e-05,1.24e-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.3-720448 ,6.00559,-72.080101,5.636,7.67e-16,9.21E-16      ,6.05E-16      ,0.0,              ,              ,0.11
50,CXOGLB J002401.4-720441,6.005854,-72.078206,0.0001372,5.88e-05,8.857e-16,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.3-720448 ,6.00559,-72.080101,5.636,7.67e-16,9.21E-16      ,6.05E-16      ,0.0,              ,              ,0.114
51,CXOGLB J002401.4-720441,6.006012,-72.078264,0.0002029,3.068e-05,1.24e-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.4-720441 ,6.005988,-72.078311,5.63,5.27e-16,6.47E-16      ,4.07E-16      ,1.32e-16,1.81E-16      ,8.00E-17      ,0.003
52,CXOGLB J002401.4-720441,6.005854,-72.078206,0.0001372,5.88e-05,8.857e-16,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.4-720441 ,6.005988,-72.078311,5.63,5.27e-16,6.47E-16      ,4.07E-16      ,1.32e-16,1.81E-16      ,8.00E-17      ,0.007
53,CXOGLB J002402.5-720511,6.010487,-72.086458,0.0008634,0.000124,5.987e-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.7-720512 ,6.007215,-72.086781,2.829,3.86e-16,5.12E-16      ,2.59E-16      ,8.18e-17,1.19E-16      ,4.40E-17      ,0.063
54,CXOGLB J002402.5-720511,6.010542,-72.086458,0.002319,9.446e-05,1.304e-14,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.7-720512 ,6.007215,-72.086781,2.829,3.86e-16,5.12E-16      ,2.59E-16      ,8.18e-17,1.19E-16      ,4.40E-17      ,0.064
55,XMMSL2 J002402.8-720447,6.004696,-72.081982,0.9862,0.4316,3.115e-12,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J002402.1-720450 ,6.008913,-72.080727,3.143,4.69e-16,5.98E-16      ,3.33E-16      ,0.0,              ,              ,0.108
56,XMMSL2 J002402.8-720447,6.013602,-72.080555,1.207,0.4198,3.812e-12,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J002402.1-720450 ,6.008913,-72.080727,3.143,4.69e-16,5.98E-16      ,3.33E-16      ,0.0,              ,              ,0.087
57,CXOGLB J002402.1-720450,6.009004,-72.080725,0.000145,2.744e-05,8.502e-16,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.1-720450 ,6.008913,-72.080727,3.143,4.69e-16,5.98E-16      ,3.33E-16      ,0.0,              ,              ,0.002
58,CXOGLB J002402.1-720450,6.00925,-72.080678,0.0001078,5.46e-05,7.794e-16,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.1-720450 ,6.008913,-72.080727,3.143,4.69e-16,5.98E-16      ,3.33E-16      ,0.0,              ,              ,0.007
59,CXOGLB J002402.8-720449,6.011667,-72.080289,0.0006482,0.0001099,5.137e-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.1-720450 ,6.008913,-72.080727,3.143,4.69e-16,5.98E-16      ,3.33E-16      ,0.0,              ,              ,0.057
60,CXOGLB J002402.8-720449,6.011767,-72.080281,0.005065,0.000139,2.937e-14,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.1-720450 ,6.008913,-72.080727,3.143,4.69e-16,5.98E-16      ,3.33E-16      ,0.0,              ,              ,0.059
61,CXOGLB J002403.1-720447,6.012975,-72.079817,0.000148,2.651e-05,1.417e-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.1-720450 ,6.008913,-72.080727,3.143,4.69e-16,5.98E-16      ,3.33E-16      ,0.0,              ,              ,0.093
62,CXOGLB J002403.1-720447,6.012833,-72.079814,0.0002305,7.532e-05,1.7e-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.1-720450 ,6.008913,-72.080727,3.143,4.69e-16,5.98E-16      ,3.33E-16      ,0.0,              ,              ,0.091
63,XMMSL2 J002402.8-720447,6.011836,-72.079721,1.035,0.3389,3.269e-12,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J002402.1-720450 ,6.008913,-72.080727,3.143,4.69e-16,5.98E-16      ,3.33E-16      ,0.0,              ,              ,0.081
64,CXOGLB J002402.1-720542,6.008829,-72.095008,0.009216,0.0001846,5.084e-14,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.1-720542 ,6.008951,-72.095027,46.73,9.28e-14,9.61E-14      ,8.93E-14      ,1.98e-14,2.10E-14      ,1.86E-14      ,0.003
65,CXOGLB J002402.1-720542,6.008796,-72.094986,0.01006,0.0003874,6.915e-14,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.1-720542 ,6.008951,-72.095027,46.73,9.28e-14,9.61E-14      ,8.93E-14      ,1.98e-14,2.10E-14      ,1.86E-14      ,0.004
66,XMMSL2 J002402.8-720447,6.013602,-72.080555,1.207,0.4198,3.812e-12,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J002402.5-720444 ,6.010455,-72.079034,10.22,2.22e-15,2.42E-15      ,2.01E-15      ,6.48e-16,7.46E-16      ,5.50E-16      ,0.108
67,CXOGLB J002402.1-720450,6.009004,-72.080725,0.000145,2.744e-05,8.502e-16,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.5-720444 ,6.010455,-72.079034,10.22,2.22e-15,2.42E-15      ,2.01E-15      ,6.48e-16,7.46E-16      ,5.50E-16      ,0.105
68,CXOGLB J002402.1-720450,6.00925,-72.080678,0.0001078,5.46e-05,7.794e-16,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.5-720444 ,6.010455,-72.079034,10.22,2.22e-15,2.42E-15      ,2.01E-15      ,6.48e-16,7.46E-16      ,5.50E-16      ,0.101
69,CXOGLB J002402.8-720449,6.011667,-72.080289,0.0006482,0.0001099,5.137e-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.5-720444 ,6.010455,-72.079034,10.22,2.22e-15,2.42E-15      ,2.01E-15      ,6.48e-16,7.46E-16      ,5.50E-16      ,0.079
70,CXOGLB J002402.8-720449,6.011767,-72.080281,0.005065,0.000139,2.937e-14,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.5-720444 ,6.010455,-72.079034,10.22,2.22e-15,2.42E-15      ,2.01E-15      ,6.48e-16,7.46E-16      ,5.50E-16      ,0.079
