A_NAME,A_RA,A_DEC,A_COUNT_RATE,A_COUNT_RATE_ERROR,A_FLUX,A_DATABASE_TABLE,B_RA,B_DEC,sig,B_DEC,B_SIGNIFICANCE,B_B_FLUX_AP,B_B_FLUX_AP_HI,B_B_FLUX_AP_LO,B_M_FLUX_AP,B_M_FLUX_AP_HI,B_M_FLUX_AP_LO,XOFFSET_
1RXS J134210.2+282250  ,205.5425,28.380556,0,RASS2MASS       ,ROSAT        ,2CXO J134209.7+282247 ,205.540723,28.379944,21.74,4.7E-13,4.91E-13,4.48E-13,8.09E-14,8.75E-14,7.43E-14,0.101,,
1RXS J161637.2-495847  ,244.155,-49.979722,0,RASS2MASS       ,ROSAT        ,2CXO J161637.7-495844 ,244.157295,-49.979056,23.93,3.04E-12,3.17E-12,2.9E-12,1.9E-13,2.07E-13,1.73E-13,0.097,,
1RXS J170053.7+400354  ,255.22375,40.065,0,RASS2MASS       ,ROSAT        ,2CXO J170053.4+400358 ,255.222586,40.066165,10.66,6.97E-13,7.64E-13,6.31E-13,6.07E-14,7.21E-14,4.87E-14,0.088,,
1RXS J171935.6-410054  ,259.898333,-41.015,0,RASS2MASS       ,ROSAT        ,2CXO J171935.8-410053 ,259.89956,-41.014923,20.27,2.35E-12,2.46E-12,2.23E-12,1.67E-13,1.84E-13,1.51E-13,0.056,,
1WGA J0836.7+5328      ,129.179583,53.477889,3E-12,WGACAT          ,ROSAT        ,2CXO J083642.7+532838 ,129.177966,53.477267,65.57,2.37E-12,2.41E-12,2.34E-12,4.64E-13,4.77E-13,4.51E-13,0.069,,
1WGA J1617.0-2258      ,244.25875,-22.971722,5.16E-14,WGACAT          ,ROSAT        ,2CXO J161702.1-225821 ,244.258799,-22.972552,2.541,9.47E-16,1.33E-15,5.64E-16,3.74E-16,5.88E-16,1.5E-16,0.05,,
1WGA J1617.0-2258      ,244.25875,-22.971722,5.16E-14,WGACAT          ,ROSAT        ,2CXO J161701.7-225816 ,244.257109,-22.971307,8.015,1.65E-14,1.86E-14,1.45E-14,2.68E-15,3.23E-15,2.13E-15,0.094,,
1WGA J1740.6-5340      ,265.1725,-53.668361,3.765E-13,WGACAT          ,ROSAT        ,2CXO J174041.4-534004 ,265.172853,-53.667935,64.73,7.74E-14,7.91E-14,7.56E-14,1.36E-14,1.43E-14,1.29E-14,0.028,,
2XMM J004414.4+412204  ,11.06001,41.36784,1.38E-13,XMMSSCLWBS      ,XMM-NEWTON   ,2CXO J004414.4+412204 ,11.060336,41.368015,6.528,0,              ,              ,0,              ,              ,0.018,,
2XMM J020052.2-092431  ,30.21758,-9.40881,1.3E-13,XMMSSCLWBS      ,XMM-NEWTON   ,2CXO J020052.2-092431 ,30.217678,-9.408798,13.56,9.35E-14,1E-13,8.62E-14,1.51E-14,1.71E-14,1.3E-14,0.006,,
2XMM J025608.1+192634  ,44.03385,19.44291,2.12E-11,XMMSSCLWBS      ,XMM-NEWTON   ,2CXO J025608.1+192634 ,44.034105,19.442842,154.6,7.54E-12,7.61E-12,7.47E-12,6.35E-14,6.62E-14,6.08E-14,0.015,,
2XMM J080622.9+152730  ,121.59569,15.4586,7.22E-13,XMMSSCLWBS      ,XMM-NEWTON   ,2CXO J080622.9+152731 ,121.595685,15.458634,54.61,3E-13,3.09E-13,2.91E-13,8.29E-15,9.71E-15,6.79E-15,0.002,,
2XMM J174816.9-280750  ,267.07065,-28.13075,9.7E-13,XMMSSCLWBS      ,XMM-NEWTON   ,2CXO J174817.0-280749 ,267.070958,-28.130413,4,0,              ,              ,0,              ,              ,0.026,,
2XMM J175013.1-064227  ,267.55487,-6.70781,4.38E-10,XMMSSCLWBS      ,XMM-NEWTON   ,2CXO J175013.1-064228 ,267.554839,-6.707869,83.51,1.26E-13,1.29E-13,1.23E-13,1.93E-14,2.01E-14,1.84E-14,0.004,,
2XMM J180507.1-274308  ,271.27969,-27.71903,1.69E-13,XMMSSCLWBS      ,XMM-NEWTON   ,2CXO J180507.0-274309 ,271.279501,-27.719175,5.412,1.76E-14,2.08E-14,1.43E-14,3.93E-15,5.37E-15,2.48E-15,0.013,,
2XMM J190109.3-220003  ,285.28867,-22.00112,4.73E-10,XMMSSCLWBS      ,XMM-NEWTON   ,2CXO J190109.3-220005 ,285.288993,-22.001639,31.89,1.5E-12,1.55E-12,1.45E-12,3.62E-13,3.82E-13,3.41E-13,0.036,,
2XMM J231519.0-591029  ,348.82925,-59.17477,3.78E-13,XMMSSCLWBS      ,XMM-NEWTON   ,2CXO J231518.9-591028 ,348.828827,-59.174549,10.04,2.53E-14,2.85E-14,2.22E-14,6.52E-15,7.52E-15,5.52E-15,0.019,,
6DFGS J0543203-410154  ,85.834417,-41.03175,7.66E-12,RASS6DFGS       ,ROSAT        ,2CXO J054320.3-410154 ,85.834815,-41.031932,145.8,8.85E-12,8.91E-12,8.79E-12,8.52E-13,8.63E-13,8.41E-13,0.021,,
CHI J162011-5002_1     ,245.027875,-50.033056,0,CHICAGOCXO      ,CHANDRA      ,2CXO J162006.7-500159 ,245.027924,-50.033097,5.786,7.14E-13,8.35E-13,5.85E-13,1.11E-14,1.78E-14,4.02E-15,0.003,,
CHI J172550-3533_2     ,261.493875,-35.542028,0,CHICAGOCXO      ,CHANDRA      ,2CXO J172558.5-353231 ,261.493864,-35.542003,10.41,4.58E-14,5.38E-14,3.78E-14,1.29E-14,1.65E-14,9.37E-15,0.002,,
CHI J194939+2631_1     ,297.409917,26.530278,0,CHICAGOCXO      ,CHANDRA      ,2CXO J194938.3+263149 ,297.409922,26.530282,13.07,1E-12,1.08E-12,9.26E-13,5.62E-14,6.57E-14,4.67E-14,0,,
CXOGLB J002359.3-720438,5.997488,-72.077386,1.098E-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002359.4-720438 ,5.997523,-72.077393,3.429,4.88E-16,5.95E-16,3.8E-16,9.68E-17,1.42E-16,5.21E-17,0.001,,
CXOGLB J002401.4-720441,6.006012,-72.078264,1.24E-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002401.4-720441 ,6.005988,-72.078311,5.63,5.27E-16,6.47E-16,4.07E-16,1.32E-16,1.81E-16,8E-17,0.003,,
CXOGLB J002402.1-720450,6.009004,-72.080725,8.502E-16,GC47TUCCXO      ,CHANDRA      ,2CXO J002400.9-720453 ,6.004075,-72.081474,61.02,2.08E-13,2.12E-13,2.04E-13,5.66E-14,5.86E-14,5.45E-14,0.101,,
CXOGLB J002402.1-720542,6.008829,-72.095008,5.084E-14,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.1-720542 ,6.008951,-72.095027,46.73,9.28E-14,9.61E-14,8.93E-14,1.98E-14,2.1E-14,1.86E-14,0.003,,
CXOGLB J002402.5-720511,6.010487,-72.086458,5.987E-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.5-720511 ,6.010643,-72.086484,22.52,3.39E-15,3.99E-15,2.79E-15,7.47E-16,9.62E-16,5.19E-16,0.003,,
CXOGLB J002403.1-720447,6.012975,-72.079817,1.417E-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002403.9-720442 ,6.016468,-72.078497,11.17,2.21E-15,2.48E-15,1.93E-15,3.63E-16,4.63E-16,2.58E-16,0.102,,
CXOGLB J002403.6-720459,6.015346,-72.083072,6.944E-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002403.7-720459 ,6.015486,-72.083083,12.38,7.08E-15,7.59E-15,6.57E-15,1.22E-15,1.36E-15,1.07E-15,0.003,,
CXOGLB J002403.7-720423,6.015675,-72.07305,2.579E-14,GC47TUCCXO      ,CHANDRA      ,2CXO J002403.7-720423 ,6.01575,-72.073064,16.15,3.49E-14,3.6E-14,3.37E-14,6.91E-15,7.32E-15,6.51E-15,0.002,,
