obs_id,true_class,level_a_prob,level_a_class,level_b_prob,level_b_class,th_class,truth,is_ok,class,src_n,src_id,significance
NS_OBS_206,NS,0.9854601087714357,['XRB'],0.9980211726384366,NS,NS,1,1,NS,XMMU J004245.2+41172,NS0044,49.26
BH_OBS_132,BH,0.9778357118662475,['XRB'],0.9905767463529219,BH,BH,1,1,BH,J1745-2900          ,BH0027,337.0
CV_OBS_696,CV,0.7840476690215268,['CV'],0.9691868309904617,CV,CV,1,1,CV,XMMSL2 J004231.9+41162,CV0110,174.76
NS_OBS_336,NS,0.9946872129562486,['XRB'],0.9893777987241328,NS,NS,1,1,NS,J1748-2446          ,NS0057,18.31
CV_OBS_298,CV,0.9748890515621007,['CV'],0.9805762296516717,CV,CV,1,1,CV,[HPH2013] 50          ,CV0037,9.94
PULSAR_OBS_281,PULSAR,0.9989761904761905,['PULSAR'],0.9985472972972973,PULSAR,PULSAR,1,1,PULSAR,PSR J1745-2900,PL0081,107.91
CV_OBS_523,CV,0.9591896847855002,['CV'],0.9695010559108626,CV,CV,1,1,CV,CXOGLB J002406.3-72044,CV0082,53.28
CV_OBS_510,CV,0.9261500480681203,['CV'],0.9468276199354152,CV,CV,1,1,CV,CXOGLB J002406.0-72045,CV0081,25.99
CV_OBS_205,CV,0.8947850786206589,['CV'],0.8970175847705266,CV,CV,1,1,CV,[HPH2013] 176         ,CV0018,11.31
CV_OBS_725,CV,0.9961802030456852,['CV'],1.0,CV,CV,1,1,CV,XMMSL2 J004231.9+41162,CV0110,174.76
PULSAR_OBS_316,PULSAR,0.8762882468583151,['PULSAR'],0.9444207497575673,PULSAR,PULSAR,1,1,PULSAR,PSR J1824-2452,PL0095,92.0
CV_OBS_325,CV,0.9043589273172132,['CV'],0.9550327695527049,CV,CV,1,1,CV,1WGA J1740.6-5340     ,CV0051,64.73
NS_OBS_339,NS,0.9946872129562485,['XRB'],0.9967250673854449,NS,NS,1,1,NS,J1748-2446          ,NS0057,18.31
PULSAR_OBS_387,PULSAR,0.9940901055032789,['PULSAR'],0.9773785980163222,PULSAR,PULSAR,1,1,PULSAR,PSR J1841-0456,PL0103,69.99
CV_OBS_747,CV,1.0,['CV'],1.0,CV,CV,1,1,CV,XMMSL2 J004231.9+41162,CV0110,174.76
BH_OBS_53,BH,0.9922426973464239,['XRB'],0.9948247978436657,BH,BH,1,1,BH,CXOU J100510.9-07453,BH0017,4.58
CV_OBS_779,CV,1.0,['CV'],0.9986802030456852,CV,CV,1,1,CV,XMMSL2 J004231.9+41162,CV0110,174.76
CV_OBS_784,CV,0.982516890757686,['CV'],0.7229545392977867,CV,CV,1,1,CV,XMMSL2 J004231.9+41162,CV0110,174.76
CV_OBS_327,CV,0.8923334061130135,['CV'],0.9238040330337752,CV,CV,1,1,CV,1WGA J1740.6-5340     ,CV0051,64.73
CV_OBS_534,CV,0.9527703643954649,['CV'],0.8088779681911514,CV,CV,1,1,CV,CXOGLB J002407.1-72054,CV0083,18.17
CV_OBS_203,CV,0.9850164613727764,['CV'],0.9929277087344651,CV,CV,1,1,CV,[HPH2013] 176         ,CV0018,11.31
