,A_NAME,A_ALT_NAME_1,A_RA,A_DEC,A_SOURCE_TYPE,A_SOURCE_TYPE_FLAG,B_NAME,B_RA,B_DEC,XOFFSET_
49,CXOGLB J002352.4-720533,[GHE2001] W89 ,5.968442,-72.092644,             ,                  ,2CXO J002352.4-720533,5.968617,-72.092619,0.004
50,CXOGLB J002352.4-720533,[GHE2001] W89 ,5.968575,-72.092592,             ,                  ,2CXO J002352.4-720533,5.968617,-72.092619,0.002
51,CXOGLB J002353.9-720350,[GHE2001] W125,5.974829,-72.063922,QLX          ,?                 ,2CXO J002353.9-720350,5.974992,-72.063947,0.003
52,CXOGLB J002353.9-720350,[GHE2001] W125,5.974925,-72.063908,QLX          ,?                 ,2CXO J002353.9-720350,5.974992,-72.063947,0.003
53,CXOGLB J002356.3-720437,[GHE2001] W328,5.984646,-72.077047,             ,                  ,2CXO J002356.3-720437,5.984622,-72.077132,0.005
54,CXOGLB J002356.7-720450,[GHE2001] W327,5.986379,-72.080567,             ,                  ,2CXO J002356.6-720450,5.986236,-72.080641,0.005
55,CXOGLB J002356.8-720504,[GHE2001] W326,5.98665,-72.084536,             ,                  ,2CXO J002356.8-720504,5.986843,-72.084574,0.004
56,CXOGLB J002356.9-720224,[GHE2001] W170,5.987404,-72.040231,             ,                  ,2CXO J002356.9-720224,5.987428,-72.040261,0.002
57,CXOGLB J002356.9-720224,[GHE2001] W170,5.987275,-72.040219,             ,                  ,2CXO J002356.9-720224,5.987428,-72.040261,0.004
58,CXOGLB J002357.8-720452,[GHE2001] W87 ,5.990946,-72.081361,             ,                  ,2CXO J002357.8-720452,5.991115,-72.081359,0.003
59,CXOGLB J002357.8-720452,[GHE2001] W87 ,5.991108,-72.081314,             ,                  ,2CXO J002357.8-720452,5.991115,-72.081359,0.003
60,CXOGLB J002357.9-720513,[GHE2001] W323,5.991229,-72.086961,             ,                  ,2CXO J002357.8-720513,5.991127,-72.086958,0.002
61,CXOGLB J002358.7-720447,[GHE2001] W319,5.994875,-72.079847,             ,                  ,2CXO J002358.7-720447,5.994977,-72.079914,0.004
62,CXOGLB J002358.8-720509,[GHE2001] W86 ,5.995833,-72.086083,             ,                  ,2CXO J002358.9-720509,5.995465,-72.086015,0.008
63,CXOGLB J002358.8-720509,[GHE2001] W86 ,5.995312,-72.085958,             ,                  ,2CXO J002358.9-720509,5.995465,-72.086015,0.004
64,CXOGLB J002359.3-720438,[GHE2001] W85 ,5.997488,-72.077386,CV           ,                  ,2CXO J002359.4-720438,5.997523,-72.077393,0.001
65,CXOGLB J002359.3-720438,[GHE2001] W85 ,5.997358,-72.077347,CV           ,                  ,2CXO J002359.4-720438,5.997523,-72.077393,0.004
66,CXOGLB J002359.3-720648,[GHE2001] W317,5.997317,-72.113528,             ,                  ,2CXO J002359.4-720648,5.997532,-72.113484,0.005
67,CXOGLB J002359.6-720443,[GHE2001] W315,5.998437,-72.078619,             ,                  ,2CXO J002359.6-720443,5.998446,-72.078629,0.001
68,CXOGLB J002359.9-720504,[GHE2001] W61 ,5.999467,-72.084625,             ,                  ,2CXO J002359.9-720504,5.999773,-72.08463,0.006
69,CXOGLB J002359.9-720504,[GHE2001] W61 ,5.999629,-72.084617,             ,                  ,2CXO J002359.9-720504,5.999773,-72.08463,0.003
70,CXOGLB J002359.9-720513,[GHE2001] W60 ,5.999725,-72.086983,             ,                  ,2CXO J002359.9-720513,5.999807,-72.087036,0.004
71,CXOGLB J002359.9-720531,[GHE2001] W101,5.999912,-72.092194,             ,                  ,2CXO J002359.9-720532,5.999945,-72.092238,0.003
72,CXOGLB J002400.9-720414,[GHE2001] W83 ,6.003808,-72.070628,             ,                  ,2CXO J002400.9-720414,6.00405,-72.07057,0.006
73,CXOGLB J002400.9-720414,[GHE2001] W83 ,6.0042,-72.070569,             ,                  ,2CXO J002400.9-720414,6.00405,-72.07057,0.003
