
#ATNF Pulsar Catalogue
#Catalogue Version: 1.65
INDEX;NAME;PSRJ;RAJ;DECJ;RAJD;DECJD;BINCOMP;ASSOC;SURVEY;PSR;
#;;;(hms);(dms);(deg);(deg);;;;TYPE;
105;J0211-8159;J0211-8159;02:11:59.0;-81:59:36.2;32.99583333;-81.99338889;*;*;pks70;*;
106;J0212+5222;J0212+5222;02:12:52.1;+52:22:49.5;33.21724475;52.38041719;*;*;htru_eff,gbncc,lotaas;*;
107;J0214+5222;J0214+5222;02:14:55.2;+52:22:40.9;33.73029708;52.37804167;He[slr+14];*;gbncc,lotaas;*;
108;J0215+6218;J0215+6218;02:15:56.6;+62:18:33.3;33.98594524;62.30927029;*;*;misc,gbncc;*;
109;J0218+4232;J0218+4232;02:18:06.3;+42:32:17.3;34.52649404;42.53815976;He[ker96];GRS:4FGL_J0218.1+4232[fermi21];misc,gbncc;HE[khvb98,aaa+09f];
110;J0220+36;J0220+36;02:20:50;+36:22;35.20833333;36.36666667;*;*;misc,lotaas;*;
111;J0229+20;J0229+20;02:29:03;+20:58;37.26250000;20.96666667;*;*;ar327;*;
112;B0226+70;J0231+7026;02:31:13.9;+70:26:33.8;37.80832172;70.44274548;*;*;gb2,gbncc,lotaas;*;
113;J0241+16;J0241+16;02:41:46;+16:04;40.44166667;16.06666667;*;*;ar327;*;
114;J0242+62;J0242+62;02:42:35;+62:56:50;40.64583333;62.94722222;*;*;gb350,lotaas;*;
115;J0243+6027;J0243+6027;02:43;+60:27;40.75000000;60.45000000;*;*;gb350;*;
116;J0244+14;J0244+14;02:44:51;+14:27;41.21250000;14.45000000;*;*;ar327;*;
117;J0248+4230;J0248+4230;02:48:31.0;+42:30:20.4;42.12917917;42.50569167;*;GRS:4FGL_J0248.6+4230[brj+21];FermiAssoc;HE[brj+21];
118;J0248+6021;J0248+6021;02:48:18.6;+60:21:34.7;42.07757083;60.35964444;*;GRS:4FGL_J0248.4+6021[fermi21];misc;HE[tpc+11];
119;J0250+5854;J0250+5854;02:50:17.7;+58:54:01.3;42.57408333;58.90036111;*;*;lotaas;*;
120;J0251+2606;J0251+2606;02:51:02.5;+26:06:09.9;42.76064042;26.10276944;UL[cck+16];GRS:4FGL_J0251.0+2605[drc+21];FermiAssoc;HE[cck+16];
121;B0254-53;J0255-5304;02:55:56.2;-53:04:21.2;43.98455208;-53.07257639;*;*;mol1,mol2,pks70,ghrss;*;
122;J0302+2252;J0302+2252;03:02:31.9;+22:52:12.1;45.63329167;22.87002778;*;*;misc,lotaas;*;
123;B0301+19;J0304+1932;03:04:33.1;+19:32:51.4;46.13797917;19.54761111;*;*;misc,mol2,gb4,lotaas;*;
124;J0305+11;J0305+11;03:05:06;+11:23;46.27500000;11.38333333;*;*;lotaas;*;
125;J0307+7443;J0307+7443;03:07:55;+74:43:12;46.97916667;74.72000000;*;GRS:4FGL_0307.8+7443[fermi21];FermiAssoc;HE[hrm+11,fermi21];
126;J0312-0921;J0312-0921;03:12:06.2;-9:21:56;48.02583333;-9.36555556;UL[trr+21];GRS:4FGL_J0312.1-0921[fermi21];misc,FermiAssoc;HE[trr+21,fermi21];
127;J0317+13;J0317+13;03:17:54;+13:29;49.47500000;13.48333333;*;*;misc,lotaas;*;
128;J0318+0253;J0318+0253;03:18:15.5;+02:53:01.5;49.56475000;2.88375000;*;GRS:4FGL_J0318.2+0254[fermi21];FermiAssoc;HE[wlz+18];
129;B0320+39;J0323+3944;03:23:26.6;+39:44:52.4;50.86109125;39.74788972;*;*;gb1,gb2,gb4,gbncc,lotaas;*;
130;J0324+5239;J0324+5239;03:24:55.4;+52:39:31.3;51.23108333;52.65869444;*;*;htru_eff;*;
131;J0325+6744;J0325+6744;03:25:05.1;+67:44:59.3;51.27133070;67.74982995;*;*;gbncc;*;
132;J0329+1654;J0329+1654;03:29:08.5;+16:54:02;52.28562500;16.90055556;*;*;ar4,lotaas;*;
133;B0329+54;J0332+5434;03:32:59.4;+54:34:43.3;53.24754000;54.57870250;*;*;misc,jb1,gb1,gb2,gb3,gb4,lotaas;*;
134;J0332+79;J0332+79;03:32:45;+79:10;53.18750000;79.16666667;*;*;gbncc;RRAT;
135;B0331+45;J0335+4555;03:35:16.6;+45:55:53.4;53.81934000;45.93151444;*;*;gb2,lotaas;*;
136;J0335+6623;J0335+6623;03:35:57.0;+66:23:23.6;53.98776332;66.38989798;*;*;gbncc,lotaas;*;
137;J0337+1715;J0337+1715;03:37:43.8;+17:15:14.8;54.43260787;17.25411889;HeT[rsa+14];OPT:[rsa+14],XRS:[ska+16];gb350;*;
138;J0340+4130;J0340+4130;03:40:23.2;+41:30:45.2;55.09703317;41.51258087;*;GRS:4FGL_J0340.3+4130[fermi21];FermiAssoc;HE;
139;J0341+5711;J0341+5711;03:41;+57:11;55.25000000;57.18333333;*;*;gb350,gbncc,lotaas;*;
140;J0343-3000;J0343-3000;03:43:27.9;-30:00:27.5;55.86641667;-30.00763889;*;*;pkshl;*;
141;B0339+53;J0343+5312;03:43:12.9;+53:12:53.4;55.80378531;53.21484111;*;*;gb1,gb2,lotaas;*;
