SRC_ID,A_NAME,"A_NAME_ALT
",A_RA,A_DEC,A_SOURCE_TYPE,A_SOURCE_TYPE_FLAG,B_NAME,B_RA,B_DEC,XOFFSET_
TC0162,CXOGLB J002357.9-720513,[GHE2001] W323,5.991229,-72.086961,             ,                  ,2CXO J002357.8-720513,5.991127,-72.086958,0.002
TC0163,CXOGLB J002358.2-720538,[GHE2001] W322,5.992708,-72.094022,             ,                  ,2CXO J002358.3-720538,5.992928,-72.09409,0.006
TC0164,CXOGLB J002358.6-720225,[GHE2001] W320,5.994154,-72.040456,             ,                  ,2CXO J002358.5-720225,5.993824,-72.040465,0.006
TC0165,CXOGLB J002358.6-720436,[GHE2001] W321,5.994329,-72.076689,             ,                  ,2CXO J002358.7-720436,5.994653,-72.076693,0.006
TC0166,CXOGLB J002358.7-720447,[GHE2001] W319,5.994875,-72.079847,             ,                  ,2CXO J002358.7-720447,5.994977,-72.079914,0.004
TC0167,CXOGLB J002358.8-720509,[GHE2001] W86 ,5.995312,-72.085958,             ,                  ,2CXO J002358.9-720509,5.995465,-72.086015,0.004
TC0168,CXOGLB J002359.3-720448,[GHE2001] W62 ,5.997142,-72.080064,             ,                  ,2CXO J002359.3-720448,5.997318,-72.080057,0.003
TC0169,CXOGLB J002359.3-720459,[GHE2001] W316,5.997471,-72.083108,             ,                  ,2CXO J002359.3-720459,5.997449,-72.083076,0.002
TC0170,CXOGLB J002359.3-720648,[GHE2001] W317,5.997317,-72.113528,             ,                  ,2CXO J002359.4-720648,5.997532,-72.113484,0.005
TC0171,CXOGLB J002359.6-720443,[GHE2001] W315,5.998437,-72.078619,             ,                  ,2CXO J002359.6-720443,5.998446,-72.078629,0.001
TC0172,CXOGLB J002359.9-720504,[GHE2001] W61 ,5.999629,-72.084617,             ,                  ,2CXO J002359.9-720504,5.999773,-72.08463,0.003
