A_NAME,B_DEC,B_NAME,B_RA,DEC,RA,XOFFSET_
PSR J1311-3430 ,-34.508381,2CXO J131145.7-343030 ,197.94049,-34.508431,197.940517,0.003
PSR J1400-6325 ,-63.430333,2CXO J140046.0-632549 ,210.191827,-63.4285,210.190375,0.117
PSR J1400-6325 ,-63.428606,2CXO J140045.7-632542 ,210.190423,-63.4285,210.190375,0.007
PSR J1400-6325 ,-63.428344,2CXO J140045.7-632542X,210.190572,-63.4285,210.190375,0.011
PSR J1400-6325 ,-63.429439,2CXO J140045.9-632545 ,210.191404,-63.4285,210.190375,0.063
PSR J1413-6205 ,-62.093325,2CXO J141330.2-620535 ,213.375909,-62.093889,213.374583,0.05
PSR J1135-6055 ,-60.926834,2CXO J113508.3-605536 ,173.784932,-60.9268,173.784896,0.002
PSR J1227-4853 ,-48.89537,2CXO J122758.7-485343 ,186.994816,-48.895206,186.994683,0.011
PSR J1231-1411 ,-14.195533,2CXO J123111.3-141143 ,187.797096,-14.195453,187.797138,0.005
PSR J1357-6429 ,-64.49165,2CXO J135702.5-642929 ,209.260551,-64.491722,209.260125,0.012
PSR J1412+7922 ,79.367702,2CXO J141255.8+792203 ,213.232548,79.367749,213.232779,0.004
PSR J1420-6048 ,-60.804813,2CXO J142008.1-604817 ,215.03411,-60.804564,215.034321,0.016
PSR J1417-4402 ,-44.049235,2CXO J141730.5-440257 ,214.377275,-44.049278,214.3775,0.01
PSR J1420-6048 ,-60.804254,2CXO J142008.4-604815 ,215.035001,-60.804564,215.034321,0.027
PSR J1429-5911 ,-59.193342,2CXO J142958.5-591136 ,217.493755,-59.1935,217.494167,0.016
PSR J1509-5850 ,-58.848962,2CXO J150927.1-585056 ,227.363176,-58.848892,227.36315,0.004
PSR J1459-6053 ,-60.888965,2CXO J145930.2-605320 ,224.876053,-60.889083,224.874958,0.033
PSR J1509-5850 ,-58.849899,2CXO J150927.4-585059 ,227.364228,-58.848892,227.36315,0.069
PSR J1509-5850 ,-58.85039,2CXO J150927.4-585101 ,227.36435,-58.848892,227.36315,0.097
PSR J1513-5908 ,-59.134095,2CXO J151355.6-590802 ,228.481723,-59.136,228.482546,0.117
PSR J1509-5850 ,-58.849909,2CXO J150926.4-585059 ,227.360404,-58.848892,227.36315,0.105
PSR J1509-5850 ,-58.849357,2CXO J150926.6-585057 ,227.361131,-58.848892,227.36315,0.069
PSR J1513-5908 ,-59.133555,2CXO J151355.4-590800 ,228.480955,-59.136,228.482546,0.155
PSR J1513-5908 ,-59.135892,2CXO J151355.6-590809 ,228.481812,-59.136,228.482546,0.024
PSR J1513-5908 ,-59.136601,2CXO J151355.9-590811 ,228.483312,-59.136,228.482546,0.043
PSR J1513-5908 ,-59.137405,2CXO J151356.2-590814 ,228.484294,-59.136,228.482546,0.1
PSR J1513-5908 ,-59.134521,2CXO J151354.9-590804 ,228.479116,-59.136,228.482546,0.138
PSR J1513-5908 ,-59.13429,2CXO J151355.3-590803 ,228.480421,-59.136,228.482546,0.122
PSR J1513-5908 ,-59.137815,2CXO J151356.7-590816 ,228.486302,-59.136,228.482546,0.159
