,flux_bb,flux_bb_lolim,flux_bb_hilim,flux_brems,flux_brems_hilim,flux_brems_lolim,flux_powlaw,flux_powlaw_lolim,flux_powlaw_hilim,photflux_aper,photflux_aper_lolim,photflux_aper_hilim,flux_aper,flux_aper_lolim,flux_aper_hilim,photflux_aper_b,photflux_aper_h,photflux_aper_m,photflux_aper_u,photflux_aper_s,photflux_aper_lolim_b,photflux_aper_lolim_h,photflux_aper_lolim_m,photflux_aper_lolim_u,photflux_aper_lolim_s,photflux_aper_hilim_b,photflux_aper_hilim_h,photflux_aper_hilim_m,photflux_aper_hilim_u,photflux_aper_hilim_s,flux_aper_b,flux_aper_h,flux_aper_m,flux_aper_u,flux_aper_s,flux_aper_lolim_b,flux_aper_lolim_h,flux_aper_lolim_m,flux_aper_lolim_u,flux_aper_lolim_s,flux_aper_hilim_b,flux_aper_hilim_h,flux_aper_hilim_m,flux_aper_hilim_u,flux_aper_hilim_s
30,,,,,,,,,,5.56412e-06,3.9444799999999995e-06,7.176660000000001e-06,7.3458e-15,5.2899600000000005e-15,9.371199999999999e-15,4.464e-06,2.18e-07,6.865999999999999e-07,2.005e-05,2.402e-06,3.64e-06,5.87e-08,4.577e-07,1.372e-05,1.846e-06,5.289e-06,3.689e-07,9.154e-07,2.638e-05,2.93e-06,1.045e-14,1.316e-15,1.576e-15,1.5619999999999997e-14,7.767e-15,8.516e-15,3.1579999999999997e-16,1.051e-15,1.06e-14,5.967e-15,1.238e-14,2.263e-15,2.102e-15,2.064e-14,9.471e-15
31,,,,,,,,,,2.12586e-06,1.0052780000000002e-06,5.275800000000001e-06,6.552000000000001e-15,2.7093e-15,1.0274500000000001e-14,6.025e-06,7.818000000000002e-07,9.685e-07,,2.854e-06,3.4430000000000007e-06,4.599e-08,2.324e-07,,1.305e-06,8.464e-06,1.518e-06,1.705e-06,1.037e-05,4.322e-06,1.244e-14,5.138e-15,2.387e-15,,6.243e-15,7.108e-15,3.023e-16,5.729e-16,,2.854e-15,1.747e-14,9.974e-15,4.2009999999999994e-15,,9.453e-15
32,6.205e-15,4.583e-15,7.137e-15,8.820999999999999e-15,9.703e-15,7.779000000000001e-15,1.025e-14,9.327e-15,1.117e-14,4.378e-06,3.82862e-06,4.921300000000001e-06,5.952400000000001e-15,5.161e-15,6.7274e-15,7.633e-06,7.459999999999998e-07,1.02e-06,8.865e-06,3.626e-06,6.966e-06,5.415e-07,8.335999999999998e-07,7.5729999999999985e-06,3.229e-06,8.3e-06,9.385e-07,1.207e-06,1.016e-05,4.001e-06,1.185e-14,3.375e-15,2.51e-15,5.851e-15,6.176e-15,1.081e-14,2.45e-15,2.051e-15,4.9939999999999995e-15,5.5e-15,1.29e-14,4.246e-15,2.9690000000000003e-15,6.708e-15,6.814e-15
33,,,,,,,,,,3.5139399999999998e-06,3.0092999999999997e-06,4.0065600000000005e-06,5.5448e-15,4.696199999999999e-15,6.384400000000001e-15,7.164e-06,5.643999999999999e-07,8.883e-07,5.369e-06,3.584e-06,6.485e-06,3.83e-07,7.045e-07,4.283e-06,3.191e-06,7.843e-06,7.458e-07,1.072e-06,6.395e-06,3.977e-06,1.1440000000000001e-14,3.265e-15,2.32e-15,4.6490000000000004e-15,6.05e-15,1.035e-14,2.196e-15,1.84e-15,3.7079999999999995e-15,5.386999999999999e-15,1.2540000000000001e-14,4.333e-15,2.799e-15,5.537e-15,6.712999999999999e-15
34,5.782e-15,4.5740000000000006e-15,6.492e-15,8.784e-15,1.007e-14,6.919e-15,1.094e-14,9.906e-15,1.23e-14,4.2236e-06,3.6811400000000005e-06,4.7598e-06,7.462199999999999e-15,6.427200000000001e-15,8.4846e-15,7.382999999999999e-06,9.96e-07,9.38e-07,8.456e-06,3.345e-06,6.727e-06,7.652e-07,7.525e-07,7.192000000000002e-06,2.969e-06,8.04e-06,1.227e-06,1.113e-06,9.72e-06,3.699e-06,1.454e-14,6.914e-15,2.283e-15,7.905e-15,5.669e-15,1.324e-14,5.3119999999999995e-15,1.831e-15,6.722e-15,5.031e-15,1.5840000000000002e-14,8.516e-15,2.709e-15,9.089e-15,6.269e-15
35,6.012e-15,4.643e-15,6.9079999999999994e-15,8.835e-15,9.728e-15,7.773999999999999e-15,1.055e-14,9.601000000000001e-15,1.151e-14,3.99886e-06,3.4883000000000006e-06,4.5053200000000004e-06,6.2942000000000004e-15,5.4252e-15,7.1558e-15,7.095e-06,6.363000000000001e-07,1.043e-06,7.919e-06,3.301e-06,6.467e-06,4.59e-07,8.595e-07,6.724e-06,2.932e-06,7.722e-06,8.136e-07,1.227e-06,9.114e-06,3.65e-06,1.115e-14,3.256e-15,2.5359999999999998e-15,8.976999999999999e-15,5.552e-15,1.015e-14,2.333e-15,2.09e-15,7.622e-15,4.931e-15,1.215e-14,4.1780000000000004e-15,2.9829999999999998e-15,1.033e-14,6.138e-15
36,,,,,,,,,,5.5805e-06,3.3978599999999994e-06,7.657000000000001e-06,8.2912e-15,4.79636e-15,1.1696600000000002e-14,9.196e-06,1.175e-06,7.535e-07,1.193e-05,4.848e-06,6.675e-06,2.819e-07,1.794e-07,6.563e-06,3.29e-06,1.157e-05,2.067e-06,1.328e-06,1.7e-05,6.32e-06,1.3830000000000001e-14,5.166e-15,1.885e-15,1.281e-14,7.765e-15,9.976000000000001e-15,1.24e-15,4.488e-16,7.048e-15,5.2689999999999994e-15,1.769e-14,9.092e-15,3.321e-15,1.826e-14,1.012e-14
37,,,,,,,,,,4.2814e-06,1.34e-06,7.8364e-06,4.4827500000000005e-15,1.43965e-15,8.80675e-15,6.31e-06,,,1.161e-05,3.487e-06,2.677e-06,,,2.786e-06,1.237e-06,9.752e-06,1.612e-06,1.764e-06,2.043e-05,5.624e-06,7.499e-15,,,4.7310000000000006e-15,5.701e-15,2.75e-15,,,9.856e-16,2.023e-15,1.2e-14,,5.556e-15,8.476000000000001e-15,9.195e-15
38,,,,,,,,,,4.214e-06,2.5188000000000003e-06,6.1089800000000014e-06,5.7145e-15,3.4981025e-15,7.85e-15,7.101e-06,,,9.326e-06,4.643e-06,4.906e-06,,,4.537e-06,3.151000000000001e-06,9.296e-06,5.271e-07,8.088e-07,1.386e-05,6.053e-06,9.273e-15,,1.388e-15,3.957e-15,8.24e-15,6.406999999999999e-15,,6.941e-17,1.925e-15,5.5909999999999995e-15,1.2140000000000001e-14,,2.638e-15,5.882e-15,1.074e-14
39,,,,,,,,,,5.678340000000001e-06,3.59894e-06,7.69e-06,7.3054e-15,4.5861200000000005e-15,9.96e-15,1.098e-05,1.077e-06,7.047e-07,9.299e-06,6.331e-06,8.322000000000001e-06,2.586e-07,1.691e-07,4.65e-06,4.595e-06,1.365e-05,1.896e-06,1.24e-06,1.3699999999999998e-05,7.964e-06,1.553e-14,3.2130000000000003e-15,1.956e-15,4.608e-15,1.122e-14,1.164e-14,4.381e-16,4.695e-16,2.242e-15,8.141e-15,1.941e-14,5.987e-15,3.443e-15,6.85e-15,1.411e-14
