,SRC_ID,A_NAME,"A_NAME_ALT
",A_RA,A_DEC,A_SOURCE_TYPE,A_SOURCE_TYPE_FLAG,B_NAME,B_RA,B_DEC,XOFFSET_,SRC_ID,src_pred
74,TC0075,CXOGLB J002411.0-720444,[GHE2001] W251,6.046079,-72.078897,AGB          ,                  ,2CXO J002411.0-720444,6.046232,-72.078906,0.003,TC0079,PULSAR
75,TC0076,CXOGLB J002412.0-720512,[GHE2001] W248,6.0501,-72.086772,AGB          ,                  ,2CXO J002412.0-720512,6.0501879999999995,-72.08681,0.003,TC0080,CV
76,,,,,,,,,,,,TC0081,PULSAR
77,TC0078,CXOGLB J002412.5-720521,[GHE2001] W246,6.0521709999999995,-72.089361,AGB          ,                  ,2CXO J002412.5-720521,6.0523739999999995,-72.08941800000001,0.005,TC0082,PULSAR
78,TC0079,CXOGLB J002413.5-720447,[GHE2001] W244,6.056496,-72.079786,AGB          ,                  ,2CXO J002413.5-720447,6.056478,-72.07982700000001,0.002,TC0083,CV
79,TC0080,CXOGLB J002413.7-720334,[GHE2001] W243,6.05735,-72.059569,AGB          ,                  ,2CXO J002413.7-720334,6.057499,-72.059575,0.003,TC0084,CV
80,TC0081,CXOGLB J002414.0-720403,[GHE2001] W242,6.058471,-72.067544,AGB          ,                  ,2CXO J002414.0-720403,6.058495,-72.067561,0.001,TC0085,PULSAR
81,TC0082,CXOGLB J002415.0-720503,[GHE2001] W239,6.062721,-72.084222,AGB          ,                  ,2CXO J002415.0-720503,6.062896,-72.08419,0.004,TC0086,PULSAR
82,TC0083,CXOGLB J002415.2-720456,[GHE2001] W238,6.063587,-72.082392,AGB          ,                  ,2CXO J002415.2-720456,6.063708999999999,-72.082432,0.003,TC0087,PULSAR
83,TC0084,CXOGLB J002415.3-720450,[GHE2001] W237,6.063829,-72.080561,AGB          ,                  ,2CXO J002415.3-720449,6.063903,-72.080516,0.003,TC0088,CV
84,TC0085,CXOGLB J002416.7-720447,[GHE2001] W233,6.0696959999999995,-72.079806,AGB          ,                  ,2CXO J002416.7-720447,6.069895,-72.079756,0.005,TC0089,PULSAR
85,TC0086,CXOGLB J002418.6-720455,[GHE2001] W228,6.077538,-72.081972,AGB          ,                  ,2CXO J002418.6-720455,6.077546,-72.082065,0.006,TC0090,CV
86,TC0087,CXOGLB J002421.2-720503,[GHE2001] W222,6.088633,-72.084172,AGB          ,                  ,2CXO J002421.3-720502,6.089008,-72.084109,0.008,TC0091,CV
87,TC0088,CXOGLB J002424.6-720500,[GHE2001] W216,6.102658,-72.083375,AGB          ,                  ,2CXO J002424.6-720500,6.102685,-72.083414,0.002,TC0092,CV
88,TC0089,CXOGLB J002430.7-720446,[GHE2001] W211,6.128083,-72.079631,AGB          ,                  ,2CXO J002430.7-720446,6.1279580000000005,-72.079676,0.004,TC0093,CV
89,TC0090,CXOGLB J002357.6-720502,[GHE2001] W64 ,5.990296,-72.083883,AB           ,                  ,2CXO J002357.6-720502,5.990402,-72.08391400000001,0.003,TC0094,CV
90,TC0091,CXOGLB J002400.6-720554,[GHE2001] W59 ,6.00265,-72.098403,AB           ,                  ,2CXO J002400.6-720554,6.002619999999999,-72.098446,0.003,TC0095,CV
