,Name,Disc. Date,Mag.,R.A.,Dec.,num_obs,Type
288,Gaia17bur,2017,18.78,13:44:00.72,-40:28:44.04,0,known_CV
289,Gaia17bwn,2017,18.01,17:24:52.56,-56:18:47.52,0,Candidate
290,Gaia17bwo,2017,15.62,16:57:14.16,-54:24:37.08,0,Candidate
291,Gaia17bxs,2017,17.04,17:53:18.96,-50:38:10.32,0,Candidate
292,Gaia17bxx,2017,16.39,17:31:58.32,-43:13:34.68,0,Candidate
293,Gaia17bxy,2017,14.67,18:21:30.24,-53:48:19.08,0,Candidate
294,Gaia17bxz,2017,16.77,17:44:18.48,-45:00:20.52,0,Candidate
295,Gaia17bye,2017,18.76,17:04:28.08,-25:32:40.56,0,Candidate
296,Gaia17bym,2017,17.37,05:29:36.24,+33:51:12.6,0,Candidate
297,Gaia17byn,2017,17.17,05:50:12.768,+41:35:04.2,0,Candidate
298,Gaia17byq,2017,18.61,05:28:55.248,+31:29:15,0,Candidate
299,Gaia17byr,2017,18.14,17:03:55.2,-21:03:07.56,0,Candidate
300,Gaia17bys,2017,18.6,17:02:48.96,-17:04:31.44,0,Candidate
301,Gaia17byv,2017,19.51,17:53:11.28,-44:45:05.04,0,Candidate
302,Gaia17byz,2017,18.92,17:14:54.72,-16:44:46.68,0,Candidate
303,Gaia17bza,2017,18.69,16:39:32.4,+09:42:08.172,0,Candidate
304,Gaia17bzi,2017,17.91,18:07:32.16,-37:21:03.24,0,Candidate
305,Gaia17bzj,2017,18.34,18:03:18.96,-31:43:50.52,0,known_CV
306,Gaia17bzx,2017,18.5,18:02:40.8,-39:20:28.32,0,Candidate
307,Gaia17caa,2017,17.93,18:16:03.36,-45:54:02.88,0,Candidate
308,Gaia17cae,2017,18.62,17:49:34.32,-23:14:43.44,0,known_CV
309,Gaia17cat,2017,17.96,17:52:10.56,+23:11:45.24,1,Candidate
310,Gaia17caw,2017,17.73,06:12:04.488,+25:28:32.52,0,known_CV
311,Gaia17caz,2017,16.98,18:21:22.8,+28:32:11.04,0,Candidate
312,Gaia17cbh,2017,18.74,18:09:59.04,-38:03:15.48,0,Candidate
313,Gaia17cbk,2017,18.27,18:03:51.6,-55:05:18.24,0,Candidate
314,Gaia17cbl,2017,17.86,18:23:19.2,+05:18:57.168,0,Candidate
315,Gaia17cbo,2017,18.48,18:57:14.16,+35:09:33.48,0,Candidate
316,Gaia17cbp,2017,17.13,06:46:45.12,-27:14:56.04,0,Candidate
317,Gaia17cbt,2017,18.54,19:02:07.92,+36:26:06,0,Candidate
318,Gaia17cbv,2017,19.08,18:09:12.48,-31:41:10.32,0,known_CV
319,Gaia17ccc,2017,15.35,06:51:10.08,-00:16:14.34,0,Candidate
320,Gaia17ccd,2017,17.08,19:14:21.84,+12:57:37.8,0,Candidate
321,Gaia17ccv,2017,15.68,06:24:29.712,+00:21:05.832,0,Candidate
322,Gaia17ccw,2017,18.19,19:13:54.96,+27:50:46.32,0,Candidate
323,Gaia17cdb,2017,17.05,07:13:02.88,-31:34:55.2,0,Candidate
324,Gaia17cdd,2017,17.74,08:01:06.24,-27:28:16.68,0,Candidate
325,Gaia17cde,2017,16.35,13:53:13.2,-58:14:11.04,0,Candidate
326,Gaia17cdj,2017,16.34,00:40:30.6,+41:38:52.8,0,N
327,Gaia17cdm,2017,18.44,18:14:49.68,+00:11:08.628,0,Candidate
328,Gaia17cdx,2017,18.12,20:04:48.24,+23:51:27.72,0,Candidate
329,Gaia17cee,2017,17.58,07:19:43.92,-26:45:41.4,0,Candidate
330,Gaia17cez,2017,16.11,19:25:26.64,+46:02:29.04,0,Candidate
331,Gaia17cfp,2017,13.1,10:21:41.76,-49:49:23.88,0,known_CV
332,Gaia17cga,2017,18.4,21:52:47.28,+56:08:19.32,0,Candidate
333,Gaia17chl,2017,17.61,14:25:48,+15:15:01.08,0,known_CV
334,Gaia17ckh,2017,15.49,12:40:14.88,+46:51:05.76,0,Candidate
335,Gaia17cmc,2017,17.4,06:38:50.568,+01:59:19.716,0,known_CV
336,Gaia17cny,2017,17.63,21:55:48.96,-17:48:56.88,0,known_CV
337,Gaia17cnz,2017,17.87,20:14:29.52,+19:07:13.08,0,known_CV
338,Gaia17coq,2017,18.65,08:25:09.6,-17:08:17.52,0,Candidate
339,Gaia17cqb,2017,17.77,11:05:54.72,+45:23:06.36,0,Candidate
340,Gaia17cqc,2017,17.39,21:57:47.52,+32:29:04.92,0,known_CV
341,Gaia17cql,2017,16.06,22:18:22.8,+34:45:08.28,0,known_CV
342,Gaia17cri,2017,19.4,23:08:30.24,+43:42:48.96,0,Candidate
343,Gaia17crn,2017,16.27,05:23:01.344,+70:53:43.44,0,Candidate
344,Gaia17cru,2017,18.26,14:59:10.8,-70:07:58.08,0,Candidate
345,Gaia17crv,2017,16.43,12:55:30.72,-60:28:41.88,0,Candidate
346,Gaia17crz,2017,17.38,07:33:03.36,+46:19:51.24,0,Candidate
347,Gaia17csd,2017,17.68,15:55:52.32,-64:11:36.24,0,Candidate
348,Gaia17cse,2017,16.04,17:55:46.08,-59:00:03.24,0,Candidate
349,Gaia17csp,2017,18.13,15:54:15.36,-61:43:57.72,0,Candidate
350,Gaia17csq,2017,18.59,15:55:34.08,-61:44:04.56,0,Candidate
351,Gaia17ctp,2017,18.53,07:53:54,+17:49:08.04,0,Candidate
352,Gaia17cur,2017,18.54,20:20:54.24,+25:08:16.08,0,Candidate
353,Gaia17cuz,2017,17.1,17:03:43.44,-59:07:12.36,0,Candidate
354,Gaia17cwd,2017,16.95,18:34:04.32,-43:51:39.6,0,Candidate
355,Gaia17cwe,2017,17.31,18:45:34.08,-45:22:09.48,0,Candidate
356,Gaia17cyj,2017,18.25,19:08:35.52,-32:17:13.56,0,Candidate
357,Gaia17daa,2017,18.45,02:49:02.904,-39:45:20.16,0,Candidate
358,Gaia17dbd,2017,15.73,18:11:20.16,+14:01:30.72,0,Candidate
359,Gaia17dce,2017,16.67,20:11:40.08,+09:18:45.504,0,Candidate
360,Gaia17dcg,2017,17.34,08:51:56.4,-02:38:24.576,0,Candidate
361,Gaia17dcx,2017,17.48,06:53:40.32,-21:04:33.6,0,Candidate
362,Gaia17ddg,2017,17.15,08:19:56.4,-18:59:51.36,0,Candidate
363,Gaia17dej,2017,19.15,17:28:54.72,+30:41:52.08,0,Candidate
364,Gaia17deu,2017,18.06,08:10:52.08,-24:32:10.32,0,Candidate
365,Gaia17dfq,2017,17.44,09:09:34.8,-56:28:24.6,0,Candidate
366,Gaia17dgf,2017,17.4,19:43:10.32,+55:49:00.48,0,known_CV
367,Gaia17dho,2017,18.17,13:54:33.6,-43:10:38.64,0,Candidate
368,Gaia17dhr,2017,18.3,14:08:17.04,-27:11:20.4,0,Candidate
