obs_id,src_id,num_obs,sepn,name,ra,dec,livetime,significance,likelihood,class,photflux_aper_b,photflux_aper_m,photflux_aper_h,photflux_aper_s,hard_hm,flux_aper_b,hard_hs,hard_ms,flux_aper_s,flux_aper_m,flux_aper_h,photflux_aper_u,var_inter_prob_b,var_inter_index_b,var_inter_sigma_b,var_inter_index_s,var_inter_prob_s,var_inter_sigma_s,var_inter_sigma_m,var_inter_index_m,var_inter_prob_m,var_inter_index_h,var_inter_prob_h,var_inter_sigma_h,flux_aper_u,var_max_b,var_prob_b,ks_prob_b,kp_prob_b,var_sigma_b,var_mean_b,var_min_b
CV_1_obs_11,CV_1,12,0.2590943, 2CXO J002405.6-720449,6.023632,-72.08036,5734.6,20.78,1834.511,CV,5.318577844278991,6.019315025636685,6.263842624726868,5.655804284128565,-0.2261,14.186619193266145,-0.5896,-0.4047,14.473660722610155,14.6643342892241,14.425204929728134,5.428291168191312,0.992,6.0,1.968e-06,5.0,0.922,9.067e-07,1.141e-06,0.0,0.036000000000000004,5.0,0.7040000000000001,5.397e-07,14.598599459218455,0.002729,0.557,0.8809999999999999,0.696,0.0003821,0.001662,0.0013050000000000002
CV_10_obs_0,CV_10,17,0.5154834, 2CXO J174804.0-244640,267.0171,-24.77796,30499.4,31.92,4878.009,CV,5.041818502435052,5.787546038959724,5.2512694439015055,6.737074530668169,0.5534,13.268814292365999,0.9357,0.7895,15.568797115443484,14.3658251282374,13.298691114771925,5.7885656103769465,0.745,5.0,2.427e-06,0.0,0.235,6.917e-07,4.879999999999999e-07,5.0,0.93,3.0,0.48,1.626e-06,14.024264485269255,0.002947,0.122,0.188,0.36,1.496e-05,0.002932,0.0029170000000000003
CV_10_obs_1,CV_10,17,0.5154834, 2CXO J174804.0-244640,267.0171,-24.77796,34063.0,31.92,4878.009,CV,5.043687469158805,6.012870232340103,5.168834366090557,6.962758396169801,0.7533,13.315423912611545,0.9994,0.9994,15.79608961030679,14.61261017366127,13.32771737521108,6.020541305704138,0.745,5.0,2.427e-06,0.0,0.235,6.917e-07,4.879999999999999e-07,5.0,0.93,3.0,0.48,1.626e-06,14.712099969199596,0.0030440000000000003,0.109,0.199,0.483,3.092e-06,0.003041,0.003038
CV_10_obs_2,CV_10,17,0.5154834, 2CXO J174804.0-244640,267.0171,-24.77796,84155.4,31.92,4878.009,CV,4.996970529446382,5.892111974817201,5.151195298948196,6.872247484167027,0.6933,13.225118234181204,0.9631,0.8107,15.58536085326299,14.458670422333306,13.243135775939452,5.998699066979582,0.745,5.0,2.427e-06,0.0,0.235,6.917e-07,4.879999999999999e-07,5.0,0.93,3.0,0.48,1.626e-06,13.410832609453953,0.0034,0.114,0.636,0.76,2.396e-05,0.003376,0.0033520000000000004
CV_10_obs_3,CV_10,17,0.5154834, 2CXO J174804.0-244640,267.0171,-24.77796,49201.9,31.92,4878.009,CV,5.160207815554671,6.002045995930597,5.326426203576949,7.1666616110606025,0.6583,13.382894769497621,0.9731,0.872,16.006211186181293,14.612254340391136,13.402743717074857,5.9445048630290716,0.745,5.0,2.427e-06,0.0,0.235,6.917e-07,4.879999999999999e-07,5.0,0.93,3.0,0.48,1.626e-06,14.533655484099917,0.002326,0.104,0.099,0.005,4.833e-10,0.002326,0.002326
CV_10_obs_4,CV_10,17,0.5154834, 2CXO J174804.0-244640,267.0171,-24.77796,28596.1,31.92,4878.009,CV,4.941194513324093,5.7361273231347765,5.118273064623582,6.6161663652499545,0.6146,13.188492020054673,0.9994,0.9994,15.364625731040421,14.292344676468813,13.211548792976544,5.85493319885051,0.745,5.0,2.427e-06,0.0,0.235,6.917e-07,4.879999999999999e-07,5.0,0.93,3.0,0.48,1.626e-06,14.0816022804005,0.004054,0.182,0.331,0.6,0.0002272,0.003715,0.0034270000000000004
CV_10_obs_5,CV_10,17,0.5154834, 2CXO J174804.0-244640,267.0171,-24.77796,28597.0,31.92,4878.009,CV,5.0085109212851044,5.765953173630188,5.169915743678837,6.730427366566516,0.5359,13.242416136020744,0.9432,0.8207,15.556096373711823,14.345628406421723,13.270471811844418,5.871482171569945,0.745,5.0,2.427e-06,0.0,0.235,6.917e-07,4.879999999999999e-07,5.0,0.93,3.0,0.48,1.626e-06,13.998883823438135,0.003517,0.087,0.245,0.316,1.365e-05,0.003494,0.00348
CV_10_obs_6,CV_10,17,0.5154834, 2CXO J174804.0-244640,267.0171,-24.77796,28597.0,31.92,4878.009,CV,5.01587791713889,5.907981529247203,5.165070903539424,6.939302159646388,0.6983,13.251191995041397,0.9681,0.8307,15.80271944187438,14.501138311007116,13.265840486755533,5.981072462641723,0.745,5.0,2.427e-06,0.0,0.235,6.917e-07,4.879999999999999e-07,5.0,0.93,3.0,0.48,1.626e-06,14.4624045861638,0.003445,0.077,0.126,0.238,7.001e-05,0.003093,0.003056
CV_10_obs_7,CV_10,17,0.5154834, 2CXO J174804.0-244640,267.0171,-24.77796,36759.2,31.92,4878.009,CV,5.042057664554595,6.069611381755678,5.155398580373653,6.940705644548063,0.7845,13.253210167847389,0.9994,0.9994,15.747538369377821,14.657182685364267,13.262171494104216,6.214812579970638,0.745,5.0,2.427e-06,0.0,0.235,6.917e-07,4.879999999999999e-07,5.0,0.93,3.0,0.48,1.626e-06,15.753255290276158,0.003411,0.221,0.922,0.816,0.0001073,0.003283,0.003175
CV_10_obs_8,CV_10,17,0.5154834, 2CXO J174804.0-244640,267.0171,-24.77796,5002.9,31.92,4878.009,CV,4.94692155651658,5.732593581247096,5.203495048446704,6.578063338105976,0.6246,12.838931614528825,0.9994,0.9994,15.40327515553738,14.259006068415115,12.84043280676638,5.8798425067275755,0.745,5.0,2.427e-06,0.0,0.235,6.917e-07,4.879999999999999e-07,5.0,0.93,3.0,0.48,1.626e-06,14.03076827085673,0.01103,0.115,0.413,0.362,8.978e-05,0.01089,0.01078
