,type,SRC_ID,A_NAME,A_RA,A_DEC,A_DATABASE_TABLE,A_OBSERVATORY,B_NAME,B_RA,B_DEC,num_obs,XOFFSET_
91,CV,CV0092,CXOGLB_J002411.8-720443,6.0496,-72.078858,GC47TUCCXO______,CHANDRA______,2CXO_J002411.9-720443_,6.049667,-72.078852,19,0.001
92,CV,CV0093,CXOGLB_J002415.8-720436,6.06615,-72.076775,GC47TUCCXO______,CHANDRA______,2CXO_J002415.9-720436_,6.066288,-72.076792,12,0.003
93,CV,CV0094,CXOGLB_J002416.9-720427,6.0707,-72.074225,GC47TUCCXO______,CHANDRA______,2CXO_J002416.9-720427_,6.070791,-72.074234,19,0.002
94,CV,CV0095,CXOU_J192035.7+374452__,290.148996,37.747852,NGC6791CXO______,CHANDRA______,2CXO_J192035.7+374452_,290.148921,37.747795,1,0.005
95,CV,CV0096,CXOU_J192056.3+374613__,290.234628,37.770331,NGC6791CXO______,CHANDRA______,2CXO_J192056.2+374613_,290.234581,37.770285,1,0.004
96,CV,CV0097,CXOU_J192105.4+374457__,290.272575,37.749358,NGC6791CXO______,CHANDRA______,2CXO_J192105.4+374457_,290.272655,37.749443,1,0.006
97,CV,CV0098,CXOU_J192107.4+374756__,290.280916,37.799056,NGC6791CXO______,CHANDRA______,2CXO_J192107.4+374756_,290.280849,37.798997,1,0.005
98,CV,CV0099,GK_PER_________________,52.799167,43.904722,INTREFCAT_______,INTEGRAL_____,2CXO_J033111.9+435415_,52.799982,43.904258,2,0.045
99,CV,CV0100,IGR_J00234+6141________,5.74,61.685556,INTREFCAT_______,INTEGRAL_____,2CXO_J002257.6+614107_,5.740186,61.685396,1,0.011
100,CV,CV0101,IGR_J04571+4527________,74.281,45.464,IBISCAT_________,INTEGRAL_____,2CXO_J045708.3+452749_,74.284675,45.463833,1,0.155
101,CV,CV0102,IGR_J15529-5029________,238.195,-50.498,IBISCAT_________,INTEGRAL_____,2CXO_J155246.9-502953_,238.195492,-50.498168,1,0.021
102,CV,CV0103,IGR_J16167-4957________,244.157,-49.979,IBISCAT_________,INTEGRAL_____,2CXO_J161637.7-495844_,244.157295,-49.979056,1,0.012
103,CV,CV0104,IGR_J16500-3307________,252.483,-33.117,IBISCAT_________,INTEGRAL_____,2CXO_J164955.6-330702_,252.481929,-33.117333,0,0.057
104,CV,CV0105,IGR_J17195-4100________,259.9,-41.015,IBISCAT_________,INTEGRAL_____,2CXO_J171935.8-410053_,259.89956,-41.014923,2,0.02
105,CV,CV0106,IGR_J18048-1455________,271.162,-14.946,IBISCAT_________,INTEGRAL_____,2CXO_J180438.9-145647_,271.162331,-14.946391,0,0.03
106,CV,CV0107,IGR_J18308-1232________,277.708,-12.539,IBISCAT_________,INTEGRAL_____,2CXO_J183049.9-123219_,277.708107,-12.538639,1,0.023
107,CV,CV0108,IGR_J19267+1325________,291.612,13.368,IBISCAT_________,INTEGRAL_____,2CXO_J192626.9+132205_,291.612433,13.36808,1,0.026
108,CV,CV0109,V*_TX_COL______________,85.834417,-41.03175,RASSUSNOID______,ROSAT________,2CXO_J054320.3-410154_,85.834815,-41.031932,1,0.021
109,CV,CV0110,XMMSL2_J004231.9+411621,10.633182,41.272599,XMMSLEWCLN______,XMM-NEWTON___,2CXO_J004231.1+411621_,10.62976,41.272666,102,0.154
110,CV,CV0111,XMMSL2_J033112.3+435412,52.801643,43.90339,XMMSLEWCLN______,XMM-NEWTON___,2CXO_J033111.9+435415_,52.799982,43.904258,2,0.089
111,CV,CV0112,XSS_J12270-4859________,186.994583,-48.895278,INTREFCAT_______,INTEGRAL_____,2CXO_J122758.7-485343_,186.994816,-48.89537,1,0.011
