#index,ra,dec,
502,10:55:54.6,-62:36:48.3,
503,10:55:44.7,-69:05:11.4,
504,10:56:43.7,-57:09:34.5,
505,10:56:25.5,-62:58:47.6,
506,10:56:45.9,-71:17:53.3,
507,10:57:53.1,-47:54:57.6,
508,10:57:59.0,-52:26:56.3,
509,10:57:09.5,-58:51:07,
510,10:57:27.7,-79:14:23.6,
511,10:58:34.2,-59:57:36.4,
512,10:59:00.8,-57:42:14.5,
513,10:59:27.5,+64:59:32,
514,11:01:44.9,-61:01:39.6,
515,11:01:37.1,-64:24:39.3,
516,11:03:33.2,-54:03:43.2,
517,11:03:31.4,-60:25:36.3,
518,11:04:17.2,-61:03:03.8,
519,11:05:24.8,-43:53:05,
520,11:05:00.4,-60:37:16.3,
521,11:05:26.1,-61:07:48.9,
522,11:06:28.4,-64:39:00.0,
523,11:07:34.4,-59:07:18.7,
524,11:07:58.7,-59:47:04,
525,11:07:12.3,-61:43:59,
526,11:10:00.3,-56:37:32.5,
527,11:11,+58:52,
528,11:12:14.8,-61:03:31.1,
529,11:12:38.4,-66:13:04.6,
530,11:12:50.7,-69:26:32.3,
531,11:14:22.6,-61:00:32.1,
532,11:15:38.4,+50:30:12.2,
533,11:15:53.7,-60:52:18.6,
534,11:16:23.2,-24:44:56.1,
535,11:16:43.0,-41:22:43.9,
536,11:17:23.8,-61:54:22,
537,11:17:45.0,-64:47:58,
538,11:19:14.3,-61:27:49.5,
539,11:19:40.8,-79:36:30.3,
540,11:20:22.4,-36:18:32.2,
541,11:21:19.0,-54:44:05.1,
542,11:22,-35:46,
543,11:23:15.6,-48:44:22.7,
544,11:23:41.7,-61:02:06.2,
545,11:23:55.5,-62:59:10.9,
546,11:23:52.2,-66:51:49.0,
547,11:24,-36:00,
548,11:24:56.4,-56:38:39.7,
549,11:24:39.0,-59:16:19,
550,11:24:59.5,-64:21:17,
551,11:25:44.3,-58:25:16.8,
552,11:25:55.2,-60:14:06.6,
553,11:25:59.8,+78:19:48.7,
554,11:26,-27:37,
555,11:26:18,-38:38,
556,11:26:52.6,-60:54:39.9,
557,11:26:21.6,-69:42:15.8,
558,11:28:46.7,-62:19:09,
559,11:29:21,-53:31,
560,11:30:16.3,-58:26:02.3,
561,11:30:10.4,-59:25:34.1,
562,11:30:31.9,-68:07:28.5,
563,11:32:50,+25:15,
564,11:32:14.5,-47:00:36.5,
565,11:32:15.7,-56:27:28.9,
566,11:33:51.4,-62:50:50.6,
567,11:35:56,-49:25:31,
568,11:35,-60:55,
569,11:36:03.1,+15:51:14.1,
570,11:36:02.1,-55:25:06.9,
571,11:36:25.2,-65:27:19.5,
572,11:37:32.0,-67:00:33.0,
573,11:37:02.0,+75:28:02.3,
574,11:38:21.6,-62:07:59.3,
575,11:41:25.6,-31:07:52.6,
576,11:41:42.7,-33:22:37.3,
577,11:41:07.0,-65:45:19.1,
578,11:42:50.1,+01:19:35.6,
579,11:42:52.5,-62:30:03.9,
580,11:43:15.0,-51:58:39.8,
581,11:43:09.7,-55:36:04.5,
582,11:44:34.8,-61:46:49,
583,11:44:02.1,-62:17:30.3,
584,11:46:07.7,-60:30:59.6,
585,11:47,-66:00,
586,11:48:28.5,-57:25:12.6,
587,11:48:37.8,-64:15:33,
588,11:51:56.8,-61:08:17.6,
589,11:52:10.0,-58:00:34,
590,11:52:53.8,-60:12:21,
591,11:53,-21:18,
592,11:54:20.1,-62:50:02.7,
593,11:56:07.4,-57:07:02.1,
594,11:56:21.5,-59:09:12.3,
595,11:57:08.1,-51:12:56.1,
596,11:57:15.2,-62:24:50.9,
597,11:59:21.7,-64:09:57,
598,11:59:35.7,-79:10:05.6,
599,12:01:23.0,-63:06:59.5,
600,12:02:28.3,-58:20:33.6,
601,12:04:36.7,-68:43:17.1,
602,12:07:21.8,-50:50:30.3,
603,12:08:13.9,-62:38:03.3,
604,12:10:00.9,-52:26:28.4,
605,12:10:05.9,-55:59:03.8,
606,12:10:46.7,-63:22:20.9,
607,12:10:42.0,-65:50:04.6,
608,12:11:24.1,-63:24:45.2,
609,12:14:08.4,-58:30:25.9,
610,12:15:00.6,-53:28:31.6,
611,12:16:20,-50:27:01,
612,12:16:41.9,-62:23:57.0,
613,12:16:07.3,-64:10:09.2,
614,12:20:17.8,-63:18:46.5,
615,12:22:52.3,-57:38:20,
616,12:23:40.1,-58:56:48.9,
617,12:24:44.2,-62:08:41.1,
618,12:24:22.2,-64:07:53.8,
619,12:25:43.8,-55:56:43.1,
620,12:25:28.6,-60:35:37.6,
621,12:25:42.8,-64:08:43,
622,12:26:14.4,+00:05:44,
623,12:26:46.6,-32:23:01,
624,12:27:58.7,-48:53:42.7,
625,12:27:00.4,-62:08:43.7,
626,12:27:12,-63:09,
627,12:31:11.3,-14:11:43.6,
628,12:31:45.7,-46:09:45.2,
629,12:31:13.0,-63:03:18,
630,12:32:19.1,-47:42:50.9,
631,12:32:17.8,-65:01:03.3,
632,12:33:31.5,-63:12:29,
633,12:33:39.9,-63:44:55,
634,12:34:12.0,-36:30:41.1,
635,12:35:19,-54:57,
636,12:35:57.7,-63:54:30.4,
637,12:36:02.5,-01:59:10,
638,12:36:59.1,-50:33:36.3,
639,12:37:25.9,-67:25:33.9,
640,12:38:23.1,+21:52:11.1,
641,12:39:40.4,+24:53:49.2,
642,12:39,-48:00,
643,12:39:58.9,-68:32:28.9,
644,12:40:17.6,-41:24:51.7,
645,12:42:34,+39:38,
646,12:43:00,+17:52,
647,12:43:35.3,-57:35:42.8,
648,12:43:17.1,-64:23:23.7,
649,12:44:11.4,-50:53:20.6,
650,12:44:47.6,-63:59:47.4,
651,12:44:38.3,-65:31:12,
652,12:45:21.1,-62:38:55.9,
653,12:46:49.3,+22:53:43.2,
654,12:48:46.3,-63:44:09.6,
655,12:48:32.8,-64:44:00.0,
656,12:49:54.3,-65:07:19.8,
