,type,SRC_ID,A_NAME,B_DEC,B_NAME,B_RA,DEC,RA,num_obs,XOFFSET_
97,PULSAR,PL0098,PSR_J1833-0831_,-8.518808,2CXO_J183344.3-083107_,278.434946,-8.518806,278.434875,1,0.004
98,PULSAR,PL0099,PSR_J1833-1034,-10.568861,2CXO_J183333.5-103407_,278.38986,-10.5688,278.3899,128,0.004
99,PULSAR,PL0100,PSR_J1834-0845_,-8.76558,2CXO_J183452.1-084556_,278.717198,-8.765561,278.717158,4,0.003
100,PULSAR,PL0101,PSR_J1836+5925,59.425023,2CXO_J183613.7+592530_,279.057092,59.4249,279.0571,1,0.007
101,PULSAR,PL0102,PSR_J1838-0655_,-6.925997,2CXO_J183803.1-065533_,279.513281,-6.925944,279.513042,1,0.015
102,PULSAR,PL0103,PSR_J1841-0456_,-4.936374,2CXO_J184119.3-045610_,280.330517,-4.936433,280.330596,2,0.006
103,PULSAR,PL0104,PSR_J1846-0258_,-2.975011,2CXO_J184624.9-025830_,281.603915,-2.975028,281.603917,12,0.001
104,PULSAR,PL0105,PSR_J1846+0919,9.330484,2CXO_J184625.8+091949_,281.607687,9.3294,281.6078,1,0.065
105,PULSAR,PL0106,PSR_J1849-0001_,-0.021551,2CXO_J184901.6-000117_,282.256736,-0.021514,282.2568,1,0.004
106,PULSAR,PL0107,PSR_J1852+0040_,0.67213,2CXO_J185238.5+004019_,283.160731,0.672167,283.160708,1,0.003
107,PULSAR,PL0108,PSR_J1856+0113_,1.223021,2CXO_J185610.6+011322_,284.044504,1.222583,284.044375,3,0.027
108,PULSAR,PL0109,PSR_J1907+0602,6.037426,2CXO_J190754.7+060214_,286.97817,6.038,286.9781,1,0.035
109,PULSAR,PL0110,PSR_J1907+0602_,6.037426,2CXO_J190754.7+060214_,286.97817,6.038028,286.978083,1,0.036
110,PULSAR,PL0111,PSR_J1907+0919_,9.322134,2CXO_J190714.3+091919_,286.809682,9.32225,286.809708,3,0.007
111,PULSAR,PL0112,PSR_J1930+1852_,18.870595,2CXO_J193030.1+185214_,292.625562,18.870583,292.625542,10,0.001
112,PULSAR,PL0113,PSR_J1932+1059_,10.992423,2CXO_J193213.9+105932_,293.058323,10.992606,293.058571,2,0.018
113,PULSAR,PL0114,PSR_J1939+2134,21.583164,2CXO_J193938.5+213459_,294.910672,21.5831,294.9107,1,0.004
114,PULSAR,PL0115,PSR_J1952+3252_,32.877973,2CXO_J195258.2+325240_,298.242521,32.877919,298.242525,1,0.003
115,PULSAR,PL0116,PSR_J1958+2846,28.765136,2CXO_J195840.0+284554_,299.66685,28.7648,299.6667,1,0.022
116,PULSAR,PL0117,PSR_J1959+2048_,20.804127,2CXO_J195936.7+204814_,299.903118,20.804201,299.903208,2,0.007
117,PULSAR,PL0118,PSR_J2017+0603_,6.051485,2CXO_J201722.6+060305_,304.344531,6.051546,304.344605,1,0.006
118,PULSAR,PL0119,PSR_J2017+3625_,36.418816,2CXO_J201755.8+362507_,304.482584,36.418861,304.482667,1,0.005
119,PULSAR,PL0120,PSR_J2021+3651,36.851285,2CXO_J202105.4+365104_,305.272795,36.851,305.274,6,0.06
120,PULSAR,PL0121,PSR_J2021+3651_,36.851285,2CXO_J202105.4+365104_,305.272795,36.851333,305.27275,6,0.004
121,PULSAR,PL0122,PSR_J2021+4026_,40.446145,2CXO_J202130.7+402646_,305.378049,40.445861,305.374958,2,0.142
122,PULSAR,PL0123,PSR_J2022+3842_,38.704153,2CXO_J202221.6+384214_,305.590348,38.704117,305.590371,1,0.002
123,PULSAR,PL0124,PSR_J2028+3332_,33.534451,2CXO_J202819.8+333204_,307.082833,33.534544,307.08275,1,0.007
124,PULSAR,PL0125,PSR_J2032+4127_,41.456741,2CXO_J203213.1+412724_,308.054745,41.456753,308.054663,6,0.004
125,PULSAR,PL0126,PSR_J2043+1711,17.191451,2CXO_J204320.8+171129_,310.836924,17.1914,310.837,1,0.005
126,PULSAR,PL0127,PSR_J2047+1053,10.885505,2CXO_J204710.2+105307_,311.792704,10.8855,311.7928,2,0.006
127,PULSAR,PL0128,PSR_J2051-0827_,-8.460488,2CXO_J205107.5-082737_,312.781306,-8.460486,312.781332,5,0.002
128,PULSAR,PL0129,PSR_J2124-3358,-33.979094,2CXO_J212443.8-335844_,321.182708,-33.9791,321.1827,1,0.001
129,PULSAR,PL0130,PSR_J2139+4716,47.270397,2CXO_J213955.9+471613_,324.98332,47.2703,324.983,1,0.014
130,PULSAR,PL0131,PSR_J2214+3000_,30.010592,2CXO_J221438.8+300038_,333.661892,30.010609,333.661886,1,0.001
131,PULSAR,PL0132,PSR_J2215+5135_,51.593496,2CXO_J221532.7+513536_,333.886279,51.593428,333.886202,1,0.005
132,PULSAR,PL0133,PSR_J2229+6114_,61.235858,2CXO_J222905.2+611409_,337.271901,61.235917,337.272,2,0.005
133,PULSAR,PL0134,PSR_J2238+5903_,59.061979,2CXO_J223827.9+590343_,339.616483,59.061333,339.617792,1,0.056
134,PULSAR,PL0135,PSR_J2241-5236_,-52.61006,2CXO_J224142.0-523636_,340.425038,-52.610063,340.425077,1,0.001
135,PULSAR,PL0136,PSR_J2256-1024_,-10.409532,2CXO_J225656.3-102434_,344.234879,-10.409551,344.234971,1,0.006
136,PULSAR,PL0137,PSR_J2301+5852_,58.878949,2CXO_J230108.2+585244_,345.284506,58.879014,345.284542,1,0.004
137,PULSAR,PL0138,PSR_J2339-0533_,-5.551438,2CXO_J233938.7-053305_,354.911401,-5.551478,354.911417,1,0.003
