"Number
(1)","RXJ
(2)","X(2000)
(3)","X(2000)
(4)","Count Rate
(5)","HR1
(6)","HR2
(7)","fX
(8)",(9),(10),"Q
(11)","Classification
(12)","z/Sp
(13)","V
(14)","B-V
(15)","IX,V
(16)","f4.85
(17)","Alternate
Designation
(18)","Remarks
(19)"
A155...,0416.2-0120,4 16 12.8,-1 20 12,0.039 ± 0.014,-0.26 ± 0.33,-0.23 ± 0.90,2.3,-5,-18,1,st,M3e,15.97,1.33,-0.87,*,,
A156...,0416.5+0247,4 16 35.1,+2 47 16,0.076 ± 0.019,+0.94 ± 0.19,-0.05 ± 0.25,4.5,-6,-12,1,st,A5,7.99,*,-3.78,*,HD 27039,
A158...,0416.8+0105,4 16 52.4,+1 05 23,1.720 ± 0.081,+0.85 ± 0.03,+0.17 ± 0.05,565.7,-2,-1,1,BLL,,16.5,0.43,1.72,70,H0414+009,R
A159...,0417.2+0849,4 17 17.9,+8 49 37,0.123 ± 0.023,-0.31 ± 0.17,+0.20 ± 0.30,7.4,-3,-2,2,st,M4e,14.58,1.21,-0.93,*,G7-34,
A160...,0417.3+0347,4 17 20.8,+3 47 02,0.039 ± 0.013,-9.99 ± 0.00,+0.67 ± 0.58,13.4,17,8,1,S1,0.082,17.33,0.69,0.43,*,,
A161...,0417.8+0011,4 17 48.8,+0 11 47,0.095 ± 0.021,+0.00 ± 0.22,+0.25 ± 0.29,5.7,-12,0,1,st,M0e,11.57,1.12,-2.25,*,,
B001...,0636.3+6554,6 36 20.6,+65 54 13,0.190 ± 0.023,-0.96 ± 0.05,+0.00 ± 0.00,7.8,-13,-2,1,ES,,19.67,*,1.13,*,,R
B002...,0638.9+6409,6 38 58.5,+64 09 02,0.032 ± 0.011,+0.27 ± 0.35,-0.76 ± 0.88,1.9,9,-23,1,st,K2,7.9,1,-4.19,*,HD 46606,
B004...,0642.7+6405,6 42 46.3,+64 05 34,0.044 ± 0.013,+0.13 ± 0.28,+0.38 ± 0.34,2.6,1,-13,1,st,G5,7.8,1.1,-4.09,*,HD 47373,
B006...,0644.1+6702,6 44 10.8,+67 02 30,0.066 ± 0.014,+0.79 ± 0.17,+0.15 ± 0.21,16.8,4,-4,1,S1,0.123,18.26,0.98,0.9,*,,
B008...,0648.5+6639,6 48 35.6,+66 39 06,0.043 ± 0.012,+0.44 ± 0.35,+0.27 ± 0.31,2.6,-1,-5,1,st,G5,10.91,*,-2.85,*,,
