"Number
(1)","RXJ
(2)","X(2000)
(3)","X(2000)
(4)","Count Rate
(5)","HR1
(6)","HR2
(7)","fX
(8)",(9),(10),"Q
(11)","Classification
(12)","z/Sp
(13)","V
(14)","B-V
(15)","IX,V
(16)","f4.85
(17)","Alternate
Designation
(18)","Remarks
(19)"
D100...,1218.3+3850,12 18 22.1,+38 50 47,0.135 ± 0.020,-0.39 ± 0.12,+0.26 ± 0.23,19.6,-6,3,1,S1,0.194,16.02,0.11,0.07,*,,
D101...,1218.4+2948,12 18 26.3,+29 48 48,4.560 ± 0.098,-0.02 ± 0.02,-0.01 ± 0.03,640.3,-4,1,1,S15,0.013,13.55,0.45,0.6,*,Mrk 766,R
D104...,1219.2+3600,12 19 12.1,+36 00 37,0.030 ± 0.009,-0.13 ± 0.29,+0.23 ± 0.39,3.6,*,*,1,"S2, st","0.300, F5",*,*,*,*,,R
D105...,1219.8+2825,12 19 51.9,+28 25 13,0.049 ± 0.012,+0.84 ± 0.16,+0.10 ± 0.23,7.1,4,-8,1,C,0.027,12.46,1.24,-1.79,*,,R
D106...,1220.0+2916,12 20 05.3,+29 16 34,0.032 ± 0.010,+1.10 ± 0.49,-0.18 ± 0.31,4.5,-21,-17,2,S1,0.002,10.9,0.19,-2.62,330,CG 1217+29,
D108...,1220.5+3343,12 20 32.0,+33 43 35,0.054 ± 0.013,-0.59 ± 0.17,+1.15 ± 0.88,6.6,-23,23,1,2QSO,"1.519,",18.93,0.44,0.76,875,3C270.1,R
D110...,1220.6+2703,12 20 40.2,+27 03 35,0.041 ± 0.012,-0.32 ± 0.26,-0.15 ± 0.46,2.5,-15,12,2,st,F3,7.13,0.36,-4.39,*,HR 4698,
D112...,1221.2+3522,12 21 12.8,+35 22 54,0.033 ± 0.011,-0.08 ± 0.27,+0.12 ± 0.41,3.9,18,45,1,"S2, st","0.135, K3",18.88,0.38,0.51,*,,R
D113...,1221.3+3010,12 21 21.4,+30 10 43,1.600 ± 0.058,+0.04 ± 0.04,+0.06 ± 0.05,227.4,-7,7,2,BLL,0.131,16.22,0.5,1.21,56,CSO 133,R
D114...,1221.4+3038,12 21 28.9,+30 38 54,0.031 ± 0.010,-0.31 ± 0.28,-0.20 ± 0.50,1.8,18,7,1,"st, st","M5e, M4e",*,*,*,*,"G148-47, 48",
D115...,1221.5+2813,12 21 30.3,+28 13 56,0.157 ± 0.020,+0.20 ± 0.12,+0.06 ± 0.16,23.3,-17,-1,2,BLL,0.102,14.24,0.56,-0.56,981,ON +231,
D116...,1221.6+3435,12 21 36.5,+34 35 37,0.052 ± 0.013,-0.42 ± 0.19,-0.37 ± 0.38,6.3,-3,-4,1,S1,0.299,18.27,0.06,0.48,*,,
D118...,1222.1+2719,12 22 08.9,+27 19 05,0.043 ± 0.012,-0.07 ± 0.27,+0.20 ± 0.34,6.5,-15,3,1,QSO,0.442,16.71,0.24,-0.13,*,,
D119...,1222.2+3541,12 22 12.4,+35 41 01,0.031 ± 0.010,-0.54 ± 0.23,-0.09 ± 0.55,3.8,12,3,3,BLL,,19.68,0.5,0.82,*,,R
D120...,1222.2+3627,12 22 15.6,+36 27 44,0.031 ± 0.010,-0.24 ± 0.30,+0.06 ± 0.49,3.7,*,*,4,,,*,*,*,*,,R
D121...,1222.5+3828,12 22 32.7,+38 28 01,0.092 ± 0.016,-0.49 ± 0.13,+0.91 ± 0.25,12.5,-11,6,1,QSO,0.531,17.37,0.1,0.41,*,,
D122...,1222.7+3653,12 22 45.3,+36 53 02,0.033 ± 0.010,+0.00 ± 0.27,+0.68 ± 0.32,2,-8,12,1,st,M3e,16.6,1.3,-0.69,*,,
D123...,1222.7+2711,12 22 47.2,+27 11 54,0.034 ± 0.011,-0.31 ± 0.26,+0.60 ± 0.35,2,-13,-6,1,st,M2e,13.84,1.57,-1.78,*,,
D125...,1223.1+3706,12 23 11.5,+37 06 53,0.077 ± 0.015,-0.27 ± 0.18,-0.04 ± 0.29,9.8,5,-8,1,S1,0.489,18.92,0.44,0.93,154,B2 1220+37,
D127...,1223.5+3345,12 23 32.8,+33 45 46,0.036 ± 0.010,-0.42 ± 0.23,+0.78 ± 0.33,4.5,-3,6,1,S1,0.441,18.58,0.1,0.46,*,,
D129...,1223.8+2729,12 23 53.3,+27 29 39,0.061 ± 0.014,-0.56 ± 0.16,+0.20 ± 0.40,8.9,-13,10,1,QSO,0.483,19.81,0.25,1.24,*,,R
D130...,1223.9+2826,12 23 54.4,+28 26 51,0.037 ± 0.011,-0.39 ± 0.23,+0.03 ± 0.46,5.4,-16,-14,1,S15,0.067,*,*,*,*,,R
D131...,1224.4+3617,12 24 29.5,+36 17 08,0.032 ± 0.010,-0.89 ± 0.22,+4.33 ± 28.92,3.9,-27,3,1,S1,0.275,20.4,*,1.12,*,,
D134...,1224.7+3156,12 24 47.5,+31 56 42,0.067 ± 0.014,+0.50 ± 0.28,+0.06 ± 0.30,9.2,*,*,1,C,0.063,*,*,*,*,,R
D136...,1224.8+3832,12 24 48.4,+38 32 52,0.061 ± 0.013,-0.25 ± 0.19,+0.14 ± 0.29,8.1,-20,3,1,LI,0.075,19.65,0.46,1.14,38,,R
D140...,1224.9+3602,12 24 56.2,+36 02 10,0.031 ± 0.010,-0.11 ± 0.27,+0.41 ± 0.39,1.9,15,-10,1,st,K0,13.74,0.44,-1.86,*,,
D142...,1224.9+3809,12 24 56.8,+38 09 44,0.033 ± 0.010,+0.27 ± 0.27,-0.16 ± 0.32,4.2,*,*,1,S1,0.349,*,*,*,*,,
D144...,1225.1+3213,12 25 11.9,+32 13 55,0.180 ± 0.020,+0.67 ± 0.09,+0.32 ± 0.11,20,-14,-7,1,Gr,0.061,14.23,1.19,-0.64,45,,
D146...,1225.2+3146,12 25 15.0,+31 46 05,0.037 ± 0.011,-0.70 ± 0.18,+0.75 ± 0.55,4.7,-24,31,1,QSO,1.284,17.64,0.25,0.1,44,,R
D148...,1225.3+3716,12 25 23.7,+37 16 17,0.039 ± 0.011,-0.03 ± 0.27,+0.29 ± 0.29,4.7,-6,-8,1,S1,0.235,20.39,0.87,1.2,*,,
D150...,1225.4+3703,12 25 24.9,+37 03 02,0.042 ± 0.012,-0.24 ± 0.24,+0.64 ± 0.34,5,-20,-5,1,QSO,0.762,19.63,0.63,0.92,*,,
D152...,1225.8+3656,12 25 50.3,+36 56 54,0.032 ± 0.010,-0.54 ± 0.22,+1.34 ± 2.25,3.9,1,8,1,S1,0.377,19.94,0.4,0.94,*,,
D153...,1225.9+3346,12 25 56.6,+33 46 46,0.040 ± 0.011,-0.08 ± 0.27,+0.72 ± 0.29,2.4,*,*,1,"st, st","G0, M2e",*,*,*,*,,R
E003...,1619.5+7022,16 19 32.3,+70 22 08,0.085 ± 0.008,-0.22 ± 0.09,-0.19 ± 0.14,5.1,0,2,1,st,F8,7.4,1,-3.96,*,HD 8004,
E004...,1619.8+6926,16 19 51.7,+69 26 27,0.011 ± 0.003,+0.55 ± 0.30,+0.29 ± 0.26,2.4,44,-14,1,QSO,0.291,16.72,0.31,-0.57,*,,R
E005...,1620.4+6904,16 20 28.3,+69 04 57,0.013 ± 0.003,+0.83 ± 0.29,+0.23 ± 0.22,2.9,12,9,1,QSO,1.49,16.51,0.09,-0.56,51,,
E006...,1620.8+7014,16 20 49.1,+70 14 60,0.025 ± 0.005,+0.46 ± 0.18,+0.22 ± 0.20,1.5,3,8,1,st,K1e,11.8,0.92,-2.74,*,,
E008...,1621.2+7009,16 21 13.2,+70 09 14,0.010 ± 0.003,+0.32 ± 0.32,-0.03 ± 0.35,0.6,6,13,1,st,M2e,14.35,1.23,-2.11,*,,
E009...,1621.2+7153,16 21 17.4,+71 53 21,0.053 ± 0.007,+0.09 ± 0.13,-0.14 ± 0.16,11.2,-5,-6,1,S1,0.231,15.9,0.31,-0.22,*,,
E010...,1621.4+7232,16 21 25.7,+72 32 33,0.029 ± 0.005,+0.78 ± 0.19,+0.30 ± 0.17,5.1,*,*,1,C,,18.92,0.88,0.65,*,,
E011...,1621.9+7322,16 21 57.5,+73 22 30,0.024 ± 0.005,+0.62 ± 0.19,+0.24 ± 0.20,4.2,*,*,1,C,,*,*,*,*,Abell 2203,
E012...,1622.3+7306,16 22 19.3,+73 06 01,0.020 ± 0.005,+0.26 ± 0.21,-0.23 ± 0.25,4.2,12,-13,1,QSO,0.616,16.34,0.06,-0.47,*,,R
E013...,1622.4+7038,16 22 28.4,+70 38 44,0.030 ± 0.005,+0.12 ± 0.18,+0.26 ± 0.22,7.1,11,8,1,QSO,0.378,17.05,0.3,0.04,*,,
E014...,1622.6+7440,16 22 37.4,+74 40 09,0.018 ± 0.005,+0.78 ± 0.21,+0.19 ± 0.23,3.1,*,*,1,C,0.177,*,*,*,*,,R
E016...,1624.8+7039,16 24 48.3,+70 39 28,0.010 ± 0.004,+0.05 ± 0.29,-0.27 ± 0.36,2.5,-15,4,1,S1,0.361,17.49,0.2,-0.24,*,,
E017...,1625.3+7455,16 25 21.2,+74 55 43,0.010 ± 0.004,+4.39 ± 5.09,-0.41 ± 0.29,0.6,-9,4,2,st,F8,9.6,0.8,-4,*,SAO 8518,
E019...,1625.5+7123,16 25 30.3,+71 23 06,0.171 ± 0.011,-0.23 ± 0.06,-0.23 ± 0.09,10.2,6,-2,2,st,F8,7.1,1.2,-3.78,*,HD 148941,
E020...,1627.8+7042,16 27 48.0,+70 42 12,0.017 ± 0.004,-0.03 ± 0.25,+0.23 ± 0.30,1,*,*,1,st,G1,*,*,*,*,,
E021...,1627.8+7258,16 27 51.4,+72 58 16,0.010 ± 0.003,+0.21 ± 0.32,+0.36 ± 0.35,0.6,9,0,1,st,K7e,12.15,1.2,-2.99,*,,
E022...,1628.4+7401,16 28 24.1,+74 01 01,0.063 ± 0.007,+0.09 ± 0.11,+0.13 ± 0.15,3.8,10,8,2,st,K0,9.2,1.3,-3.37,*,SAO 8533,
E023...,1629.0+7318,16 29 00.0,+73 18 25,0.019 ± 0.004,+0.15 ± 0.21,-0.46 ± 0.21,1.1,7,-8,1,st,F7,7.95,0.87,-4.41,*,,
E024...,1629.1+7431,16 29 06.6,+74 31 04,0.025 ± 0.005,+0.76 ± 0.22,+0.24 ± 0.22,5.4,-6,6,1,QSO,0.7,19.67,1,0.97,174,,
E025...,1629.3+7141,16 29 23.7,+71 41 45,0.019 ± 0.004,+0.86 ± 0.22,+0.29 ± 0.22,3.9,1,-1,1,QSO,0.199,17.9,1.45,0.12,*,,
E026...,1629.9+7201,16 29 56.7,+72 01 24,0.014 ± 0.004,+0.73 ± 0.19,+0.11 ± 0.26,3.1,9,1,1,QSO,0.609,18.15,0.19,0.12,*,,
E027...,1630.1+7338,16 30 10.2,+73 38 44,0.010 ± 0.003,+0.84 ± 0.63,+0.33 ± 0.34,2,5,1,1,QSO,0.961,17.81,0.29,-0.2,*,,
E028...,1630.9+7226,16 30 55.4,+72 26 41,0.020 ± 0.004,+0.71 ± 0.18,-0.02 ± 0.20,4.6,0,-1,1,S1,0.179,17.19,0.79,-0.09,*,,
E029...,1630.9+6950,16 30 59.1,+69 50 05,0.026 ± 0.005,+0.57 ± 0.16,+0.29 ± 0.16,1.1,-6,4,1,ES,,20.35,*,0.54,*,,R
E030...,1631.0+7303,16 31 02.6,+73 03 30,0.041 ± 0.005,-0.10 ± 0.13,+0.12 ± 0.18,2.4,9,-14,1,st,M2e,13.9,1.8,-1.69,*,G257-37,
E032...,1631.4+7354,16 31 27.8,+73 54 01,0.019 ± 0.004,+0.52 ± 0.23,+0.14 ± 0.24,0.8,8,-10,1,ES,,18.29,0.43,-0.42,*,,R
E033...,1631.5+7322,16 31 34.1,+73 22 22,0.014 ± 0.004,+0.12 ± 0.29,-0.14 ± 0.34,2.9,-10,6,1,QSO,1.001,18.92,0.28,0.4,*,,
E034...,1632.5+7359,16 32 33.8,+73 59 45,0.029 ± 0.005,+0.69 ± 0.17,+0.11 ± 0.18,6.2,-3,3,1,S1,0.208,15.14,0.73,-0.78,*,,
E036...,1634.2+7055,16 34 15.4,+70 55 36,0.016 ± 0.004,+0.69 ± 0.23,+0.37 ± 0.22,2.9,*,*,1,C,0.083,*,*,*,*,,R
E037...,1634.4+7031,16 34 29.4,+70 31 37,0.046 ± 0.006,+0.78 ± 0.11,-0.14 ± 0.13,10.2,3,5,1,QSO,1.334,14.09,0.51,-0.99,*,PG 1634+706,
E038...,1635.0+7009,16 35 02.1,+70 09 40,0.033 ± 0.005,+0.09 ± 0.16,-0.06 ± 0.19,7.9,19,0,1,S1,0.234,17.66,0.13,0.33,*,,
E039...,1635.2+7357,16 35 16.2,+73 57 51,0.012 ± 0.003,+1.65 ± 0.51,-0.37 ± 0.22,2.1,*,*,1,C,,*,*,*,*,,R
E040...,1635.6+7407,16 35 37.2,+74 07 19,0.015 ± 0.004,+0.05 ± 0.28,+0.57 ± 0.28,3.1,-6,0,1,QSO,0.906,16.44,0.23,-0.56,*,,
E041...,1635.8+7128,16 35 52.5,+71 28 45,0.041 ± 0.005,+0.67 ± 0.12,+0.06 ± 0.14,9.2,2,-8,1,S1,0.171,15.84,0.73,-0.33,*,,
E042...,1636.2+7204,16 36 17.1,+72 04 57,0.016 ± 0.004,+0.36 ± 0.23,+0.40 ± 0.25,3.6,9,-16,1,S1,0.187,16.82,0.76,-0.35,*,,
E043...,1636.6+6947,16 36 41.3,+69 47 47,0.042 ± 0.005,+0.29 ± 0.12,-0.07 ± 0.15,2.5,12,12,1,st,F5,*,*,*,*,HD 150631,
E044...,1637.6+6919,16 37 41.3,+69 19 09,0.014 ± 0.003,-0.44 ± 0.21,-0.41 ± 0.38,0.8,32,-8,1,st,K3,*,*,*,*,SAO 17172,
E045...,1637.8+7239,16 37 48.2,+72 39 30,0.031 ± 0.005,+0.10 ± 0.15,+0.07 ± 0.19,1.9,9,-11,1,st,K0,10.47,1.11,-3.17,*,,
E046...,1638.0+7326,16 38 02.6,+73 26 11,0.042 ± 0.006,+0.37 ± 0.13,+0.36 ± 0.14,8.8,4,-1,3,BLL,,*,*,*,*,,R
E047...,1638.6+7040,16 38 39.1,+70 40 16,0.022 ± 0.004,+0.88 ± 0.12,-0.03 ± 0.18,5.1,8,-6,1,S1,0.369,17.32,0.29,0.01,*,,
E048...,1640.8+7448,16 40 49.4,+74 48 37,0.016 ± 0.005,+0.24 ± 0.25,+0.11 ± 0.30,3.5,*,*,1,QSO,0.776,*,*,*,*,,R
E050...,1642.7+7413,16 42 46.8,+74 13 49,0.032 ± 0.006,+0.64 ± 0.16,+0.08 ± 0.19,7,-1,-6,3,QSO,0.664,19.05,0.28,0.83,*,,R
E053...,1646.2+6940,16 46 13.8,+69 40 01,0.094 ± 0.007,+0.59 ± 0.07,+0.31 ± 0.08,23.2,8,2,1,S1,0.215,16.53,0.32,0.35,*,,
E055...,1647.3+7018,16 47 23.1,+70 18 52,0.025 ± 0.004,+0.16 ± 0.17,+0.17 ± 0.20,1.5,6,8,1,st,M3e,14.19,1.5,-1.78,*,,
E056...,1648.0+7157,16 48 04.4,+71 57 52,0.011 ± 0.003,+0.33 ± 0.28,+0.09 ± 0.30,0.6,18,-9,1,st,F8,9.11,*,-4.18,*,HD 152628,
E057...,1648.9+6920,16 48 57.5,+69 20 60,0.011 ± 0.003,-0.39 ± 0.22,-0.15 ± 0.41,0.6,-5,6,1,st,M5e,17.24,1.49,-0.93,*,,
E058...,1649.3+7224,16 49 18.1,+72 24 09,0.012 ± 0.003,-1.02 ± 0.15,+0.00 ± 0.00,0.5,8,-3,1,WDA,,16.77,-0.32,-1.22,*,,
E059...,1649.6+7442,16 49 41.4,+74 42 56,0.011 ± 0.003,+0.92 ± 0.34,-0.08 ± 0.29,2.4,2,11,1,QSO,1.378,17.92,0.25,-0.08,95,,R
E060...,1650.1+7240,16 50 10.6,+72 40 41,0.020 ± 0.004,+0.53 ± 0.19,+0.09 ± 0.22,3.5,*,*,1,C,0.113,*,*,*,*,,
E062...,1651.2+7106,16 51 14.4,+71 06 51,0.016 ± 0.004,-0.17 ± 0.18,+0.12 ± 0.28,1,-1,-2,1,st,M2e,14.28,1.43,-1.93,*,,
E064...,1651.6+7218,16 51 41.5,+72 18 19,0.119 ± 0.008,+0.42 ± 0.07,+0.00 ± 0.08,26.3,7,-5,3,BLL,,16.78,0.23,0.5,*,,R
E065...,1652.4+7153,16 52 27.9,+71 53 59,0.012 ± 0.003,+1.51 ± 0.39,+0.26 ± 0.32,2.2,*,*,1,C,0.178,*,*,*,*,,
E066...,1653.2+7015,16 53 15.7,+70 15 58,0.086 ± 0.007,+0.42 ± 0.08,+0.28 ± 0.09,5.1,7,-1,1,st,K1,10.07,0.88,-2.89,*,,
E067...,1653.5+7344,16 53 34.2,+73 44 17,0.068 ± 0.008,+0.05 ± 0.11,-0.50 ± 0.13,4,-10,1,2,st,K0,8.44,0.91,-3.65,*,SAO 8653,
E068...,1653.5+7055,16 53 34.9,+70 55 31,0.011 ± 0.003,+0.95 ± 0.37,+0.17 ± 0.21,2.1,*,*,1,C,,*,*,*,*,,
E071...,1654.4+7007,16 54 24.0,+70 07 15,0.014 ± 0.003,+0.73 ± 0.20,+0.29 ± 0.25,3.2,6,44,1,QSO,2.077,18.2,0.06,0.16,*,,R
E072...,1656.1+7024,16 56 07.5,+70 24 11,0.010 ± 0.003,+0.80 ± 0.22,+0.47 ± 0.30,1.9,*,*,1,C,0.181,*,*,*,*,,R
E073...,1656.4+7407,16 56 24.7,+74 07 05,0.014 ± 0.004,+0.49 ± 0.31,-0.13 ± 0.27,0.9,-10,-16,1,st,K3e,17.34,0.98,-0.76,*,,
E074...,1656.4+7323,16 56 27.0,+73 23 57,0.013 ± 0.004,+0.94 ± 0.34,+0.26 ± 0.30,2.8,-16,5,1,QSO,0.712,17.33,0.35,-0.25,*,,R
E076...,1656.9+7110,16 56 55.4,+71 10 31,0.032 ± 0.004,+0.34 ± 0.15,+0.19 ± 0.16,7.5,8,-2,1,S1,0.259,17.27,0.48,0.15,*,,
E077...,1659.6+7036,16 59 40.6,+70 36 32,0.010 ± 0.003,+0.18 ± 0.23,+0.45 ± 0.27,2.4,5,40,1,QSO,0.835,18.87,0.49,0.3,*,,
E078...,1700.7+7007,17 00 43.6,+70 07 11,0.011 ± 0.003,+0.36 ± 0.28,-0.52 ± 0.25,2,*,*,1,C,,*,*,*,*,,
E079...,1701.1+6924,17 01 10.9,+69 24 46,0.011 ± 0.003,-0.49 ± 0.19,+0.27 ± 0.46,2.7,-1,4,1,S2,0.05,14.95,0.64,-1.22,*,,
E080...,1702.7+7253,17 02 43.3,+72 53 31,0.348 ± 0.014,+0.72 ± 0.03,+0.30 ± 0.04,76.2,-4,3,1,S1,0.054,15.2,*,0.33,*,,R
E082...,1702.8+7222,17 02 51.1,+72 22 26,0.033 ± 0.005,+0.39 ± 0.14,-0.07 ± 0.16,7.4,-13,-18,1,S1,0.271,17.08,0.41,0.07,*,,
E089...,1704.8+7138,17 04 48.1,+71 38 12,0.095 ± 0.007,+0.07 ± 0.08,+0.10 ± 0.10,21.5,6,-6,1,BLL,,16.17,0.37,0.17,39,,R
E091...,1705.4+7436,17 05 25.2,+74 36 03,0.053 ± 0.007,+0.33 ± 0.13,+0.05 ± 0.14,3.2,4,-5,1,st,K0,9.43,0.85,-3.36,*,,
E092...,1706.1+7239,17 06 10.9,+72 39 18,0.037 ± 0.005,+0.34 ± 0.13,+0.48 ± 0.15,8.2,-9,-3,1,S1,0.123,14.73,1.03,-0.82,*,,
E093...,1706.3+7329,17 06 22.9,+73 29 31,0.070 ± 0.008,-0.10 ± 0.10,-0.35 ± 0.13,4.2,-9,-4,1,st,K7,9.94,1.7,-3.03,*,,
E094...,1707.0+7349,17 07 04.7,+73 49 32,0.010 ± 0.003,+0.85 ± 0.44,+0.52 ± 0.26,2.2,16,11,1,QSO,0.916,18.17,0.28,-0.01,*,,
E095...,1708.1+6925,17 08 06.1,+69 25 10,0.022 ± 0.004,+0.39 ± 0.16,+0.20 ± 0.17,4,*,*,1,C,0.042,*,*,*,*,,R
E097...,1709.4+7056,17 09 26.3,+70 56 27,0.012 ± 0.003,+0.09 ± 0.22,-0.09 ± 0.27,0.7,17,-3,1,st,K0,10.86,0.86,-3.43,*,,
E098...,1710.2+7015,17 10 13.6,+70 15 34,0.019 ± 0.004,+0.03 ± 0.16,+0.31 ± 0.22,1.2,-3,-2,1,st,M5e,15.74,1.5,-1.27,49,,
E099...,1710.8+6946,17 10 48.2,+69 46 51,0.011 ± 0.002,+0.22 ± 0.24,+0.44 ± 0.25,2,*,*,1,C,,*,*,*,*,,R
E100...,1711.2+6930,17 11 16.5,+69 30 13,0.030 ± 0.004,+0.54 ± 0.14,-0.07 ± 0.14,1.8,-2,3,1,st,F8,9.2,0.7,-3.7,*,SAO 17386,
E101...,1711.5+7110,17 11 34.4,+71 10 54,0.016 ± 0.004,+0.22 ± 0.20,+0.03 ± 0.24,3.6,10,-11,1,QSO,1.016,*,*,*,*,,R
E104...,1712.5+7218,17 12 30.7,+72 18 33,0.019 ± 0.004,+1.05 ± 0.20,+0.66 ± 0.15,4.2,-1,7,1,S1,0.241,19.55,1.05,0.81,*,,R
E105...,1712.5+7107,17 12 35.0,+71 07 34,0.019 ± 0.004,+0.04 ± 0.18,-0.26 ± 0.21,1.2,-3,-4,1,st,F2,9.5,0.5,-3.77,*,SAO 8737,
E106...,1712.9+7356,17 12 59.9,+73 56 11,0.056 ± 0.007,-0.35 ± 0.10,-0.26 ± 0.18,3.4,2,5,1,st,M5e,13.34,1.79,-1.77,*,,
E107...,1716.1+7147,17 16 11.6,+71 47 39,0.103 ± 0.007,+0.31 ± 0.07,+0.23 ± 0.08,6.2,-6,7,2,st,K2,7.61,1.2,-3.79,*,HD 157370,
E113...,1717.9+7038,17 17 57.0,+70 38 11,0.045 ± 0.004,+0.52 ± 0.09,-0.19 ± 0.11,10.1,2,-5,1,S2,0.176,19.45,0.41,1.16,*,,
E114...,1717.9+7308,17 17 58.0,+73 08 43,0.014 ± 0.004,+0.40 ± 0.28,+0.57 ± 0.24,3,-19,-8,1,S1,0.193,18.08,0.93,0.07,*,,
E115...,1718.6+7358,17 18 40.1,+73 58 16,0.010 ± 0.003,+0.01 ± 0.28,+0.54 ± 0.31,2.2,0,0,3,BLL,,*,*,*,*,,R
E121...,1719.0+6929,17 19 04.0,+69 29 34,0.013 ± 0.003,+0.38 ± 0.26,+0.19 ± 0.24,2.9,3,-5,1,S1,0.283,18.34,0.75,0.17,27,,
E122...,1719.0+7442,17 19 05.9,+74 42 60,0.010 ± 0.003,+0.27 ± 0.33,+0.59 ± 0.27,2.2,0,-15,1,QSO,1.53,17.86,0.21,-0.14,*,,
E124...,1719.5+7150,17 19 34.4,+71 50 36,0.013 ± 0.003,+0.77 ± 0.19,+0.18 ± 0.21,2.9,2,3,1,QSO,0.607,17.15,0.25,-0.32,*,,R
E125...,1719.6+7443,17 19 41.0,+74 43 00,0.013 ± 0.004,-0.07 ± 0.25,+0.64 ± 0.30,2.8,5,-35,3,BLL,,19.06,0.26,0.44,*,,R
E132...,1721.1+6947,17 21 11.1,+69 47 58,0.012 ± 0.002,+0.00 ± 0.20,-0.64 ± 0.22,0.7,4,-5,2,st,F8,7.4,0.9,-4.83,*,HD 158063,
E138...,1721.7+7337,17 21 45.2,+73 37 34,0.016 ± 0.003,+0.29 ± 0.21,-0.31 ± 0.22,3.4,-2,0,1,S1,0.519,18.42,0.27,0.27,*,,
E142...,1722.3+7423,17 22 22.1,+74 23 17,0.010 ± 0.003,+0.73 ± 0.20,+0.41 ± 0.23,1.8,*,*,1,C,0.042,*,*,*,*,,R
E143...,1722.5+7422,17 22 33.0,+74 22 25,0.010 ± 0.003,+1.10 ± 0.33,+0.62 ± 0.17,1.8,*,*,3,C,0.042,*,*,*,*,,R
E145...,1722.6+7316,17 22 40.7,+73 16 39,0.035 ± 0.005,-0.11 ± 0.12,-0.12 ± 0.17,2.1,1,9,1,st,K1e,11.57,0.89,-2.68,*,,
E149...,1723.3+7347,17 23 18.2,+73 47 46,0.012 ± 0.003,+0.75 ± 0.34,+0.22 ± 0.26,0.7,7,3,1,st,K1,12.69,0.96,-2.72,*,,
E154...,1724.0+6940,17 24 00.5,+69 40 23,0.048 ± 0.004,+0.43 ± 0.09,+0.00 ± 0.10,2.9,1,-7,1,st,G4,10.62,0.69,-2.92,*,,
E155...,1724.0+7354,17 24 05.6,+73 54 44,0.013 ± 0.003,+0.34 ± 0.23,-0.14 ± 0.27,0.8,-3,7,1,st,K1,11.11,1.21,-3.3,*,,
E160...,1724.2+6957,17 24 16.1,+69 57 00,0.019 ± 0.003,+0.57 ± 0.14,-0.14 ± 0.20,3.4,*,*,1,C,0.039,*,*,*,25,,
E164...,1724.8+7204,17 24 51.1,+72 04 25,0.013 ± 0.003,-0.62 ± 0.19,-0.10 ± 0.62,2.7,3,16,1,QSO,1.127,18.25,0.59,0.1,*,,
E167...,1726.1+7431,17 26 08.5,+74 31 09,0.253 ± 0.011,+0.39 ± 0.04,+0.22 ± 0.05,55.5,1,6,1,S15,0.052,14.48,0.88,-0.09,*,IF 17275+74,
E170...,1726.4+7422,17 26 27.1,+74 22 09,0.013 ± 0.004,+0.42 ± 0.27,-0.05 ± 0.31,0.7,-7,28,1,st,M5e,16.3,1.38,-1.24,*,,
E171...,1726.7+6937,17 26 47.0,+69 37 40,0.012 ± 0.002,+1.19 ± 0.29,+0.04 ± 0.18,0.7,8,-13,1,"st, C","F5,",9.27,0.65,-4.07,*,,R
E172...,1727.0+6926,17 27 04.4,+69 26 54,0.011 ± 0.002,+0.30 ± 0.24,-0.32 ± 0.22,2.4,*,*,4,,,*,*,*,*,,R
E173...,1727.4+7035,17 27 24.9,+70 35 38,0.035 ± 0.004,+0.72 ± 0.10,+0.42 ± 0.12,6.3,*,*,1,C,0.111,*,*,*,*,,
E179...,1728.1+7239,17 28 11.5,+72 39 27,0.066 ± 0.006,+0.32 ± 0.09,+0.30 ± 0.10,4,-5,6,1,st,K4e,11.5,*,-2.43,*,,R
E181...,1728.2+7253,17 28 17.5,+72 53 24,0.018 ± 0.003,+0.61 ± 0.17,+0.30 ± 0.18,3.8,-8,-3,1,S1,0.229,15.85,*,-0.71,*,,
E184...,1728.6+7041,17 28 38.3,+70 41 08,0.020 ± 0.004,+0.13 ± 0.17,-0.05 ± 0.19,4.2,1,5,1,BLL,,20.1,0.8,1.04,55,,R
E188...,1728.6+7329,17 28 40.3,+73 29 16,0.032 ± 0.005,+1.12 ± 0.08,+0.61 ± 0.13,5.7,*,*,1,C,0.057,*,*,*,*,,
E190...,1729.1+7033,17 29 11.0,+70 33 01,0.013 ± 0.003,-0.53 ± 0.17,-0.20 ± 0.38,2.9,-2,3,1,QSO,0.533,15.43,0.34,-1,26,,
E192...,1729.2+7425,17 29 15.2,+74 25 22,0.011 ± 0.003,+0.32 ± 0.27,+0.14 ± 0.30,2.5,40,-24,1,"C, st","0.050, M5e",17.16,1.88,-0.38,*,,
E196...,1729.5+7211,17 29 32.6,+72 11 48,0.012 ± 0.003,+0.42 ± 0.26,+0.20 ± 0.25,2.5,1,-24,1,S1,0.204,18.78,0.54,0.28,*,,
E200...,1730.3+6955,17 30 20.4,+69 55 20,0.039 ± 0.004,+0.25 ± 0.10,+0.12 ± 0.12,2.3,3,-7,1,st,F0,8.77,1.16,-3.76,*,,
E203...,1730.4+7423,17 30 28.8,+74 23 10,0.071 ± 0.007,+0.95 ± 0.05,+0.00 ± 0.11,12.5,*,*,1,C,0.041,*,*,*,*,,R
E211...,1732.0+6926,17 32 05.4,+69 26 17,0.014 ± 0.002,+0.54 ± 0.18,+0.09 ± 0.18,3,-15,18,1,BLL,,18.15,0.45,0.1,27,,R
