obs_id,src_id,num_obs,src_n,name,ra,dec,livetime,significance,likelihood,class,photflux_aper_hilim_b,photflux_aper_hilim_h,flux_aper_hilim_b,photflux_aper_hilim_s,photflux_aper_hilim_m,hard_hs,hard_hm,flux_aper_hilim_s,hard_ms,flux_aper_hilim_h,flux_aper_hilim_m,photflux_aper_hilim_u,flux_aper_hilim_u,flux_aper_b,photflux_aper_b,var_inter_prob_b,var_inter_sigma_b,flux_aper_lolim_b,photflux_aper_lolim_b,var_inter_sigma_s,var_inter_prob_m,var_inter_sigma_m,var_inter_prob_s,var_inter_index_b,var_inter_sigma_h,var_inter_prob_h,photflux_aper_h,photflux_aper_lolim_h,flux_aper_h,photflux_aper_m,flux_aper_lolim_h,flux_aper_m,var_max_b,var_mean_b,var_min_b,var_sigma_b,ks_prob_b,kp_prob_b,var_prob_b,photflux_aper_s,var_inter_index_h,var_inter_index_m,flux_aper_lolim_m,photflux_aper_lolim_m,flux_aper_s,photflux_aper_lolim_s,flux_aper_lolim_s,var_inter_index_s
CV_1_obs_0,CV_1,104,[HPH2013]_142__________, 2CXO J004242.9+411543,10.67917,41.26198,4035.0,77.08,27912.78,CV,4.089856038935487,4.586867949565128,12.65915945018767,4.692290076595193,4.747389659432627,0.1449,0.1949,13.430509045651217,-0.055,12.786216700664696,13.378200775997332,4.264161665682926,13.534617148551582,12.716472635138306,4.147215131319452,1.0,0.0001696,12.78277934435548,4.21339052735134,7.661e-05,1.0,3.311e-05,1.0,6.0,2.517e-05,1.0,4.671212799645465,4.782516055786093,12.870632404277014,4.838033383635925,12.98171569157347,13.468776625466973,0.02291,0.01679,0.013980000000000001,0.00215,0.782,0.866,0.252,4.799696817018415,6.0,5.0,13.583193128177056,4.95233580539844,13.538051504796238,4.953504835665291,13.691862621361961,5.0
CV_1_obs_1,CV_1,104,[HPH2013]_142__________, 2CXO J004242.9+411543,10.67917,41.26198,3958.6,77.08,27912.78,CV,4.1749635587786464,4.69058277422186,12.677160727313678,4.724919101543142,4.833273944419949,0.0612,0.1699,13.346690987061521,-0.1112,12.835944708106549,13.385419133002515,4.2457281313165405,13.421246215573566,12.736837535037782,4.234704070301944,1.0,0.0001696,12.806041021980812,4.303993284781455,7.661e-05,1.0,3.311e-05,1.0,6.0,2.517e-05,1.0,4.777283528852417,4.892790030352131,12.922632094715844,4.922268820347608,13.038246785813218,13.474436941729934,0.014740000000000001,0.014719999999999999,0.0147,1.22e-05,0.006,0.025,0.094,4.834755673874689,6.0,5.0,13.594995334949632,5.0429197403421,13.456677099353088,4.9931062920521,13.61475131759678,5.0
CV_1_obs_2,CV_1,104,[HPH2013]_142__________, 2CXO J004242.9+411543,10.67917,41.26198,4117.4,77.08,27912.78,CV,4.164246032480617,4.672028376376989,12.64859024807456,4.777023550106609,4.79805693659835,0.1437,0.1524,13.590912630552165,-0.0112,12.741841806659206,13.399680670248339,4.0523702526156455,13.820161071976813,12.706637445288555,4.222138375823758,1.0,0.0001696,12.773400094792642,4.289036881004725,7.661e-05,1.0,3.311e-05,1.0,6.0,2.517e-05,1.0,4.756713853916554,4.869023308394383,12.826522356547006,4.882728704344236,12.938924676370208,13.484258583330634,0.019969999999999998,0.0151,0.01024,0.004867,0.991,0.998,0.9129999999999999,4.890421453095613,6.0,5.0,13.596536298654682,4.99481948749622,13.70421305974839,5.055221318876493,13.869023308394382,5.0
CV_1_obs_3,CV_1,104,[HPH2013]_142__________, 2CXO J004242.9+411543,10.67917,41.26198,4132.7,77.08,27912.78,CV,4.21645371772965,4.723308471154961,12.750801642608888,4.717831221695358,4.927015255372069,0.0037,0.2486,13.52432881167557,-0.2473,12.86043573382415,13.527243550682787,4.339608901597533,13.590912630552165,12.811915626285062,4.2777775360302694,1.0,0.0001696,12.883392256011751,4.349109922143688,7.661e-05,1.0,3.311e-05,1.0,6.0,2.517e-05,1.0,4.817585347565446,4.938170692705301,12.954677021213342,5.02516604495146,13.075255647520052,13.625434939277234,0.013569999999999999,0.013369999999999998,0.01323,0.0001486,0.467,0.313,0.121,4.824488186636552,6.0,5.0,13.752763450493235,5.152427340857888,13.631155493174179,4.96657624451305,13.772884917410876,5.0
CV_1_obs_4,CV_1,104,[HPH2013]_142__________, 2CXO J004242.9+411543,10.67917,41.26198,4108.6,77.08,27912.78,CV,4.09248115389337,4.705093089394808,12.674279141980588,4.551757587365561,4.774174008538107,-0.1886,0.0775,13.367036831832738,-0.2623,12.848936746646249,13.324771746406936,4.341225679155643,13.592439150513638,12.727694155597913,4.145876217898833,1.0,0.0001696,12.78861244706314,4.206768552943479,7.661e-05,1.0,3.311e-05,1.0,6.0,2.517e-05,1.0,4.792904459580782,4.910094888560602,12.93666664104825,4.857923538926715,13.054039296422431,13.408490191005345,0.01877,0.018080000000000002,0.01738,0.0006342,0.725,0.6729999999999999,0.218,4.637329070274333,6.0,5.0,13.519131076312831,4.968591535748375,13.452717692036696,4.751291264399082,13.566550206238404,5.0
CV_1_obs_5,CV_1,104,[HPH2013]_142__________, 2CXO J004242.9+411543,10.67917,41.26198,4903.5,77.08,27912.78,CV,4.096204857258964,4.5752816626684325,12.580044251510243,4.720105019988362,4.801893001126598,0.1911,0.2686,13.304430772963814,-0.0849,12.709075440617246,13.398809467384666,4.576099081471583,13.82739706879014,12.628009088535086,4.14417809459397,1.0,0.0001696,12.681936665037238,4.198184831418563,7.661e-05,1.0,3.311e-05,1.0,6.0,2.517e-05,1.0,4.647817481888637,4.734946211495985,12.781464494783473,4.882728704344236,12.868702203402377,13.47977856411804,0.01865,0.018340000000000002,0.018000000000000002,0.00027919999999999996,0.389,0.221,0.132,4.815876645760329,6.0,5.0,13.579219380451434,4.9821322810364945,13.400007822415901,4.938547520912807,13.522734004575147,5.0
CV_1_obs_6,CV_1,104,[HPH2013]_142__________, 2CXO J004242.9+411543,10.67917,41.26198,3907.5,77.08,27912.78,CV,4.107905397309519,4.656394491895828,12.656394491895828,4.553307533628473,4.719649306953994,-0.1149,0.0712,13.37809703910877,-0.1849,12.799696817018415,13.334888262924949,3.7525177393229456,13.003707281458679,12.713768145971446,4.1651979459513,1.0,0.0001696,12.779891911959945,4.2312879196223365,7.661e-05,1.0,3.311e-05,1.0,6.0,2.517e-05,1.0,4.748605149959896,4.866141874796665,12.887394998465426,4.803271277376713,13.00480370840282,13.4185054577091,0.01656,0.01641,0.016280000000000003,0.00011939999999999999,0.077,0.040999999999999995,0.10400000000000001,4.6585654754218595,6.0,5.0,13.529295570277212,4.913996294381618,13.484788695672199,4.797784224198868,13.626720106722503,5.0
CV_1_obs_8,CV_1,104,[HPH2013]_142__________, 2CXO J004242.9+411543,10.67917,41.26198,3974.2,77.08,27912.78,CV,4.220331372792852,4.736837535037783,12.751781438809925,4.7146677723561154,4.853561864714226,-0.0237,0.1399,13.503208684299958,-0.1661,12.878768544850379,13.436044535004187,3.922268820347608,13.173536450907198,12.816160962943579,4.284581677404944,1.0,0.0001696,12.891434976267165,4.360015751958412,7.661e-05,1.0,3.311e-05,1.0,6.0,2.517e-05,1.0,4.833569886156718,4.958607314841775,12.975514332300833,4.9503943874050265,13.100617294466735,13.532984181561565,0.01254,0.01243,0.012320000000000001,9.335e-05,0.34600000000000003,0.10400000000000001,0.115,4.833569886156718,6.0,5.0,13.657972311912529,5.07546228222451,13.621965677542669,5.009661145212399,13.79805693659835,5.0
CV_1_obs_9,CV_1,104,[HPH2013]_142__________, 2CXO J004242.9+411543,10.67917,41.26198,3968.3,77.08,27912.78,CV,4.226872075966665,4.716925025264528,12.717151397165356,4.807153884811158,4.8407336689065055,0.1212,0.1487,13.62837807282398,-0.0312,12.805208242278075,13.44105155402196,4.063335486999924,13.259084923518717,12.781464494783473,4.291749111408622,1.0,0.0001696,12.856672870007953,4.36794783329419,7.661e-05,1.0,3.311e-05,1.0,6.0,2.517e-05,1.0,4.812479279163537,4.935167780261426,12.900664722314042,4.936291440608582,13.02342078135989,13.536554968229572,0.012490000000000001,0.012440000000000001,0.01238,4.325e-05,0.09,0.001,0.10800000000000001,4.93218548883816,6.0,5.0,13.659357622439295,5.0589857562944305,13.753255290276158,5.121305899603891,13.94233389609017,5.0
CV_1_obs_10,CV_1,104,[HPH2013]_142__________, 2CXO J004242.9+411543,10.67917,41.26198,4035.6,77.08,27912.78,CV,4.135726303195621,4.609064892896621,12.6345120151091,4.6790233226571765,4.828858848971618,0.0962,0.2698,13.33423144928062,-0.1811,12.757210190521324,13.442974277613617,4.070836616794936,13.32202824718926,12.692076296388118,4.193413065672197,1.0,0.0001696,12.758702612890007,4.259953275948506,7.661e-05,1.0,3.311e-05,1.0,6.0,2.517e-05,1.0,4.691862621361961,4.801068130067791,12.840132152907433,4.923359556329658,12.949233688766958,13.537302591898284,0.023540000000000002,0.0154,0.01356,0.001849,0.7090000000000001,0.603,0.257,4.7848914189469065,6.0,5.0,13.65777477063921,5.043735497301724,13.440093374963887,4.935542010773082,13.59074334796109,5.0
