,type,SRC_ID,A_NAME,A_RA,A_DEC,A_DATABASE_TABLE,A_OBSERVATORY,B_NAME,B_RA,B_DEC,num_obs,XOFFSET_
95,NS,NS0063,UW_CRB_______________,241.440417,25.8625,RITTERLMXB______,_____________,2CXO_J160545.8+255145_,241.441205,25.862581,1,0.043
96,NS,NS0064,V5512_SGR____________,273.629583,-17.157222,RITTERLMXB______,_____________,2CXO_J181431.0-170925_,273.629472,-17.157138,1,0.008
97,NS,NS0065,SAXWFC_J1612.7-5224.6,243.164583,-52.41,SAXWFCCAT_______,BEPPOSAX_____,2CXO_J161240.6-522436_,243.169511,-52.410272,1,0.181
98,NS,NS0066,SAXWFC_J1734.2-2605.2,263.54375,-26.087083,SAXWFCCAT_______,BEPPOSAX_____,2CXO_J173410.1-260524_,263.542399,-26.090134,6,0.197
99,NS,NS0067,SAXWFC_J1740.7-2818.5,265.17,-28.308389,SAXWFCCAT_______,BEPPOSAX_____,2CXO_J174040.0-281830_,265.166716,-28.308421,1,0.173
100,NS,NS0068,SAXWFC_J1744.9-2921.2,266.216667,-29.353,SAXWFCCAT_______,BEPPOSAX_____,2CXO_J174451.1-292116_,266.212968,-29.354525,6,0.214
101,NS,NS0069,SAXWFC_J1747.0-2853.3,266.746667,-28.888278,SAXWFCCAT_______,BEPPOSAX_____,2CXO_J174659.3-285321_,266.747305,-28.889387,2,0.075
102,NS,NS0070,SAXWFC_J1747.0-2853.3,266.746667,-28.888278,SAXWFCCAT_______,BEPPOSAX_____,2CXO_J174659.2-285328_,266.74671,-28.891263,2,0.179
103,NS,NS0071,SAXWFC_J1748.1-2446.1,267.026667,-24.769083,SAXWFCCAT_______,BEPPOSAX_____,2CXO_J174805.7-244603_,267.024155,-24.767679,15,0.161
104,NS,NS0072,SAXWFC_J1748.1-2446.1,267.026667,-24.769083,SAXWFCCAT_______,BEPPOSAX_____,2CXO_J174806.1-244617_,267.025705,-24.771629,16,0.161
105,NS,NS0073,SAXWFC_J1750.2-3703.1,267.539167,-37.052083,SAXWFCCAT_______,BEPPOSAX_____,2CXO_J175009.7-370300_,267.54075,-37.050032,2,0.145
106,NS,NS0074,SAXWFC_J1750.8-3116.5,267.697917,-31.2745,SAXWFCCAT_______,BEPPOSAX_____,2CXO_J175046.8-311629_,267.695171,-31.274879,0,0.143
107,NS,NS0075,1WGA_J0514.1-4002____,78.525,-40.045722,WGACAT__________,ROSAT________,2CXO_J051406.6-400250_,78.52791,-40.047392,3,0.167
108,NS,NS0076,1WGA_J0748.5-6745____,117.144167,-67.751444,WGACAT__________,ROSAT________,2CXO_J074836.1-674459_,117.150791,-67.74997,9,0.175
109,NS,NS0077,1WGA_J1747.4-3002____,266.854167,-30.039056,WGACAT__________,ROSAT________,2CXO_J174725.2-300216_,266.855063,-30.037798,2,0.089
110,NS,NS0078,1WGA_J1911.2+0035____,287.81625,0.584444,WGACAT__________,ROSAT________,2CXO_J191116.0+003505_,287.816769,0.584978,16,0.045
111,NS,NS0079,4U0142+614___________,26.592144,61.752053,XRBCAT__________,_____________,2CXO_J014622.4+614503_,26.593348,61.750834,1,0.081
112,NS,NS0080,4U1745-203___________,267.222663,-20.367235,XRBCAT__________,_____________,2CXO_J174853.1-202202_,267.221514,-20.36745,4,0.066
113,NS,NS0081,E1048.1-5937_________,162.532607,-59.88764,XRBCAT__________,_____________,2CXO_J105007.1-595321_,162.529818,-59.889314,0,0.131
114,NS,NS0082,E1724-307____________,261.888086,-30.802042,XRBCAT__________,_____________,2CXO_J172733.1-304807_,261.888321,-30.802216,2,0.016
115,NS,NS0083,E2259+587____________,345.28267,58.879437,XRBCAT__________,_____________,2CXO_J230108.2+585244_,345.284506,58.878949,1,0.064
116,NS,NS0084,GRO_J1744-28_________,266.153139,-28.760357,XRBCAT__________,_____________,2CXO_J174436.8-284537_,266.153406,-28.760354,2,0.014
